nohup: 忽略输入
mode: train
batch: 512
city_t: 50
steps: 13000
embed: 128
hidden: 128
clip_logits: 10
softmax_T: 1.0
optim: Adam
init_min: -0.08
init_max: 0.08
n_glimpse: 1
n_process: 3
decode_type: sampling
lr: 0.001
is_lr_decay: True
lr_decay: 0.96
lr_decay_step: 5000.0
act_model_path: Pt/train20_1113_12_12_step14999_act.pt
seed: 1
alpha: 0.99
islogger: True
issaver: True
log_step: 10
log_dir: ./Csv/
model_dir: ./Pt/
pkl_dir: ./Pkl/
cuda_dv: 0
dump_date: 0522_11_12
task: train50
pkl_path: ./Pkl/train50.pkl
n_samples: 6656000

generate ./Csv/0522_11_15_train50_param.csv
step:720/13000, actic loss:-101.182, critic loss:22.232, L:17.661, 0min1sec
step:730/13000, actic loss:-99.775, critic loss:21.977, L:17.655, 0min1sec
step:740/13000, actic loss:-98.418, critic loss:21.727, L:17.647, 0min1sec
step:750/13000, actic loss:-97.123, critic loss:21.487, L:17.639, 0min1sec
step:760/13000, actic loss:-95.871, critic loss:21.252, L:17.631, 0min2sec
step:770/13000, actic loss:-94.679, critic loss:21.023, L:17.632, 0min2sec
cnt: 1/20
step:780/13000, actic loss:-93.479, critic loss:20.794, L:17.638, 0min2sec
cnt: 2/20
step:790/13000, actic loss:-92.290, critic loss:20.574, L:17.636, 0min2sec
cnt: 3/20
step:800/13000, actic loss:-91.159, critic loss:20.362, L:17.630, 0min2sec
step:810/13000, actic loss:-90.044, critic loss:20.156, L:17.622, 0min2sec
step:820/13000, actic loss:-88.971, critic loss:19.955, L:17.615, 0min2sec
step:830/13000, actic loss:-87.830, critic loss:19.759, L:17.612, 0min2sec
step:840/13000, actic loss:-86.803, critic loss:19.564, L:17.606, 0min2sec
step:850/13000, actic loss:-85.817, critic loss:19.375, L:17.600, 0min2sec
step:860/13000, actic loss:-84.835, critic loss:19.190, L:17.596, 0min2sec
step:870/13000, actic loss:-83.865, critic loss:19.010, L:17.589, 0min2sec
step:880/13000, actic loss:-82.865, critic loss:18.832, L:17.586, 0min2sec
step:890/13000, actic loss:-81.933, critic loss:18.660, L:17.580, 0min2sec
step:900/13000, actic loss:-81.072, critic loss:18.491, L:17.572, 0min1sec
step:910/13000, actic loss:-80.150, critic loss:18.326, L:17.566, 0min1sec
step:920/13000, actic loss:-79.271, critic loss:18.163, L:17.558, 0min1sec
step:930/13000, actic loss:-78.451, critic loss:18.005, L:17.551, 0min1sec
step:940/13000, actic loss:-77.623, critic loss:17.847, L:17.546, 0min1sec
step:950/13000, actic loss:-76.839, critic loss:17.696, L:17.539, 0min1sec
step:960/13000, actic loss:-76.059, critic loss:17.547, L:17.534, 0min1sec
step:970/13000, actic loss:-75.246, critic loss:17.407, L:17.528, 0min1sec
step:980/13000, actic loss:-74.470, critic loss:17.264, L:17.524, 0min1sec
step:990/13000, actic loss:-73.712, critic loss:17.124, L:17.519, 0min1sec
step:1000/13000, actic loss:-73.004, critic loss:16.987, L:17.514, 0min1sec
step:1010/13000, actic loss:-72.273, critic loss:16.854, L:17.509, 0min1sec
step:1020/13000, actic loss:-71.577, critic loss:16.721, L:17.503, 0min2sec
step:1030/13000, actic loss:-70.886, critic loss:16.590, L:17.500, 0min2sec
step:1040/13000, actic loss:-70.212, critic loss:16.462, L:17.497, 0min2sec
step:1050/13000, actic loss:-69.545, critic loss:16.337, L:17.493, 0min2sec
step:1060/13000, actic loss:-68.887, critic loss:16.213, L:17.490, 0min2sec
step:1070/13000, actic loss:-68.252, critic loss:16.092, L:17.485, 0min2sec
step:1080/13000, actic loss:-67.616, critic loss:15.972, L:17.482, 0min2sec
step:1090/13000, actic loss:-67.002, critic loss:15.856, L:17.479, 0min2sec
step:1100/13000, actic loss:-66.388, critic loss:15.743, L:17.477, 0min2sec
step:1110/13000, actic loss:-65.764, critic loss:15.632, L:17.474, 0min2sec
step:1120/13000, actic loss:-65.170, critic loss:15.522, L:17.471, 0min2sec
step:1130/13000, actic loss:-64.603, critic loss:15.415, L:17.467, 0min2sec
step:1140/13000, actic loss:-64.040, critic loss:15.307, L:17.463, 0min2sec
step:1150/13000, actic loss:-63.472, critic loss:15.202, L:17.459, 0min2sec
step:1160/13000, actic loss:-62.931, critic loss:15.101, L:17.455, 0min2sec
step:1170/13000, actic loss:-62.408, critic loss:14.999, L:17.450, 0min2sec
step:1180/13000, actic loss:-61.878, critic loss:14.902, L:17.446, 0min2sec
step:1190/13000, actic loss:-61.366, critic loss:14.806, L:17.442, 0min2sec
step:1200/13000, actic loss:-60.856, critic loss:14.711, L:17.439, 0min2sec
step:1210/13000, actic loss:-60.375, critic loss:14.619, L:17.436, 0min2sec
step:1220/13000, actic loss:-59.875, critic loss:14.527, L:17.432, 0min2sec
step:1230/13000, actic loss:-59.392, critic loss:14.436, L:17.429, 0min2sec
step:1240/13000, actic loss:-58.918, critic loss:14.347, L:17.426, 0min2sec
step:1250/13000, actic loss:-58.451, critic loss:14.261, L:17.423, 0min2sec
step:1260/13000, actic loss:-57.999, critic loss:14.173, L:17.419, 0min2sec
step:1270/13000, actic loss:-57.545, critic loss:14.088, L:17.416, 0min2sec
step:1280/13000, actic loss:-57.089, critic loss:14.005, L:17.412, 0min2sec
step:1290/13000, actic loss:-56.647, critic loss:13.925, L:17.409, 0min2sec
step:1300/13000, actic loss:-56.183, critic loss:13.844, L:17.406, 0min2sec
step:1310/13000, actic loss:-55.754, critic loss:13.764, L:17.403, 0min2sec
step:1320/13000, actic loss:-55.336, critic loss:13.685, L:17.400, 0min2sec
step:1330/13000, actic loss:-54.921, critic loss:13.606, L:17.398, 0min2sec
step:1340/13000, actic loss:-54.507, critic loss:13.531, L:17.395, 0min2sec
step:1350/13000, actic loss:-54.106, critic loss:13.455, L:17.391, 0min2sec
step:1360/13000, actic loss:-53.702, critic loss:13.382, L:17.389, 0min2sec
step:1370/13000, actic loss:-53.306, critic loss:13.309, L:17.387, 0min2sec
step:1380/13000, actic loss:-52.912, critic loss:13.238, L:17.384, 0min2sec
step:1390/13000, actic loss:-52.518, critic loss:13.167, L:17.381, 0min2sec
step:1400/13000, actic loss:-52.149, critic loss:13.097, L:17.379, 0min2sec
step:1410/13000, actic loss:-51.779, critic loss:13.027, L:17.377, 0min2sec
step:1420/13000, actic loss:-51.429, critic loss:12.960, L:17.375, 0min2sec
step:1430/13000, actic loss:-51.085, critic loss:12.895, L:17.375, 0min2sec
step:1440/13000, actic loss:-50.731, critic loss:12.830, L:17.375, 0min2sec
cnt: 4/20
step:1450/13000, actic loss:-50.379, critic loss:12.767, L:17.373, 0min2sec
step:1460/13000, actic loss:-50.037, critic loss:12.706, L:17.371, 0min2sec
step:1470/13000, actic loss:-49.707, critic loss:12.644, L:17.369, 0min2sec
step:1480/13000, actic loss:-49.387, critic loss:12.584, L:17.366, 0min2sec
step:1490/13000, actic loss:-49.051, critic loss:12.524, L:17.364, 0min2sec
step:1500/13000, actic loss:-48.729, critic loss:12.465, L:17.362, 0min2sec
step:1510/13000, actic loss:-48.400, critic loss:12.406, L:17.360, 0min2sec
step:1520/13000, actic loss:-48.085, critic loss:12.347, L:17.357, 0min2sec
step:1530/13000, actic loss:-47.773, critic loss:12.288, L:17.355, 0min2sec
step:1540/13000, actic loss:-47.469, critic loss:12.230, L:17.352, 0min2sec
step:1550/13000, actic loss:-47.164, critic loss:12.172, L:17.349, 0min2sec
step:1560/13000, actic loss:-46.867, critic loss:12.113, L:17.347, 0min2sec
step:1570/13000, actic loss:-46.489, critic loss:12.059, L:17.344, 0min2sec
step:1580/13000, actic loss:-46.196, critic loss:12.004, L:17.341, 0min2sec
step:1590/13000, actic loss:-45.909, critic loss:11.946, L:17.338, 0min2sec
step:1600/13000, actic loss:-45.618, critic loss:11.885, L:17.330, 0min2sec
step:1610/13000, actic loss:-45.287, critic loss:11.822, L:17.310, 0min2sec
step:1620/13000, actic loss:-45.001, critic loss:11.757, L:17.276, 0min2sec
step:1630/13000, actic loss:-44.747, critic loss:11.694, L:17.237, 0min2sec
step:1640/13000, actic loss:-44.439, critic loss:11.633, L:17.192, 0min2sec
step:1650/13000, actic loss:-44.165, critic loss:11.570, L:17.145, 0min2sec
step:1660/13000, actic loss:-43.905, critic loss:11.504, L:17.097, 0min2sec
step:1670/13000, actic loss:-43.599, critic loss:11.441, L:17.049, 0min2sec
step:1680/13000, actic loss:-43.349, critic loss:11.377, L:17.000, 0min2sec
step:1690/13000, actic loss:-43.105, critic loss:11.313, L:16.950, 0min2sec
step:1700/13000, actic loss:-42.869, critic loss:11.249, L:16.900, 0min2sec
step:1710/13000, actic loss:-42.621, critic loss:11.189, L:16.852, 0min2sec
step:1720/13000, actic loss:-42.409, critic loss:11.128, L:16.803, 0min2sec
step:1730/13000, actic loss:-42.175, critic loss:11.067, L:16.754, 0min2sec
step:1740/13000, actic loss:-41.912, critic loss:11.007, L:16.706, 0min2sec
step:1750/13000, actic loss:-41.681, critic loss:10.946, L:16.659, 0min2sec
step:1760/13000, actic loss:-41.457, critic loss:10.886, L:16.611, 0min2sec
step:1770/13000, actic loss:-41.235, critic loss:10.828, L:16.564, 0min2sec
step:1780/13000, actic loss:-41.014, critic loss:10.769, L:16.517, 0min2sec
step:1790/13000, actic loss:-40.793, critic loss:10.713, L:16.470, 0min2sec
step:1800/13000, actic loss:-40.562, critic loss:10.656, L:16.424, 0min2sec
step:1810/13000, actic loss:-40.305, critic loss:10.603, L:16.379, 0min2sec
step:1820/13000, actic loss:-40.088, critic loss:10.547, L:16.335, 0min2sec
step:1830/13000, actic loss:-39.885, critic loss:10.492, L:16.291, 0min2sec
step:1840/13000, actic loss:-39.667, critic loss:10.437, L:16.247, 0min2sec
step:1850/13000, actic loss:-39.455, critic loss:10.383, L:16.204, 0min2sec
step:1860/13000, actic loss:-39.248, critic loss:10.330, L:16.159, 0min2sec
step:1870/13000, actic loss:-39.042, critic loss:10.276, L:16.116, 0min2sec
step:1880/13000, actic loss:-38.835, critic loss:10.224, L:16.072, 0min2sec
step:1890/13000, actic loss:-38.628, critic loss:10.171, L:16.029, 0min2sec
step:1900/13000, actic loss:-38.424, critic loss:10.120, L:15.986, 0min2sec
step:1910/13000, actic loss:-38.229, critic loss:10.069, L:15.943, 0min2sec
step:1920/13000, actic loss:-38.020, critic loss:10.019, L:15.901, 0min2sec
step:1930/13000, actic loss:-37.830, critic loss:9.969, L:15.859, 0min2sec
step:1940/13000, actic loss:-37.662, critic loss:9.921, L:15.817, 0min2sec
step:1950/13000, actic loss:-37.451, critic loss:9.873, L:15.776, 0min2sec
step:1960/13000, actic loss:-37.256, critic loss:9.825, L:15.736, 0min2sec
step:1970/13000, actic loss:-37.073, critic loss:9.777, L:15.695, 0min2sec
step:1980/13000, actic loss:-36.891, critic loss:9.730, L:15.655, 0min2sec
step:1990/13000, actic loss:-36.717, critic loss:9.683, L:15.614, 0min2sec
step:2000/13000, actic loss:-36.535, critic loss:9.636, L:15.573, 0min2sec
step:2010/13000, actic loss:-36.353, critic loss:9.589, L:15.533, 0min2sec
step:2020/13000, actic loss:-36.176, critic loss:9.543, L:15.493, 0min2sec
step:2030/13000, actic loss:-36.000, critic loss:9.498, L:15.453, 0min2sec
step:2040/13000, actic loss:-35.825, critic loss:9.453, L:15.414, 0min2sec
step:2050/13000, actic loss:-35.642, critic loss:9.409, L:15.376, 0min2sec
step:2060/13000, actic loss:-35.475, critic loss:9.365, L:15.338, 0min2sec
step:2070/13000, actic loss:-35.310, critic loss:9.321, L:15.300, 0min2sec
step:2080/13000, actic loss:-35.128, critic loss:9.278, L:15.262, 0min2sec
step:2090/13000, actic loss:-34.967, critic loss:9.235, L:15.224, 0min2sec
step:2100/13000, actic loss:-34.801, critic loss:9.192, L:15.186, 0min2sec
step:2110/13000, actic loss:-34.638, critic loss:9.150, L:15.149, 0min2sec
step:2120/13000, actic loss:-34.479, critic loss:9.108, L:15.111, 0min2sec
step:2130/13000, actic loss:-34.315, critic loss:9.067, L:15.075, 0min2sec
step:2140/13000, actic loss:-34.154, critic loss:9.026, L:15.038, 0min2sec
step:2150/13000, actic loss:-33.995, critic loss:8.985, L:15.001, 0min2sec
step:2160/13000, actic loss:-33.843, critic loss:8.945, L:14.966, 0min2sec
step:2170/13000, actic loss:-33.690, critic loss:8.905, L:14.930, 0min2sec
step:2180/13000, actic loss:-33.539, critic loss:8.866, L:14.895, 0min2sec
step:2190/13000, actic loss:-33.383, critic loss:8.827, L:14.860, 0min2sec
step:2200/13000, actic loss:-33.238, critic loss:8.788, L:14.825, 0min2sec
step:2210/13000, actic loss:-33.083, critic loss:8.750, L:14.791, 0min2sec
step:2220/13000, actic loss:-32.939, critic loss:8.711, L:14.756, 0min2sec
step:2230/13000, actic loss:-32.792, critic loss:8.673, L:14.722, 0min2sec
step:2240/13000, actic loss:-32.647, critic loss:8.636, L:14.688, 0min2sec
step:2250/13000, actic loss:-32.503, critic loss:8.598, L:14.654, 0min2sec
step:2260/13000, actic loss:-32.364, critic loss:8.561, L:14.621, 0min2sec
step:2270/13000, actic loss:-32.216, critic loss:8.525, L:14.587, 0min2sec
step:2280/13000, actic loss:-32.084, critic loss:8.489, L:14.554, 0min2sec
step:2290/13000, actic loss:-31.952, critic loss:8.453, L:14.522, 0min2sec
step:2300/13000, actic loss:-31.814, critic loss:8.418, L:14.490, 0min2sec
step:2310/13000, actic loss:-31.679, critic loss:8.382, L:14.457, 0min2sec
step:2320/13000, actic loss:-31.545, critic loss:8.347, L:14.425, 0min2sec
step:2330/13000, actic loss:-31.417, critic loss:8.312, L:14.394, 0min2sec
step:2340/13000, actic loss:-31.264, critic loss:8.279, L:14.363, 0min2sec
step:2350/13000, actic loss:-31.131, critic loss:8.245, L:14.332, 0min2sec
step:2360/13000, actic loss:-31.000, critic loss:8.211, L:14.301, 0min2sec
step:2370/13000, actic loss:-30.873, critic loss:8.177, L:14.270, 0min2sec
step:2380/13000, actic loss:-30.742, critic loss:8.144, L:14.240, 0min2sec
step:2390/13000, actic loss:-30.616, critic loss:8.111, L:14.209, 0min2sec
step:2400/13000, actic loss:-30.498, critic loss:8.078, L:14.179, 0min2sec
step:2410/13000, actic loss:-30.355, critic loss:8.046, L:14.150, 0min2sec
step:2420/13000, actic loss:-30.229, critic loss:8.014, L:14.120, 0min2sec
step:2430/13000, actic loss:-30.106, critic loss:7.982, L:14.091, 0min2sec
step:2440/13000, actic loss:-29.983, critic loss:7.950, L:14.061, 0min2sec
step:2450/13000, actic loss:-29.862, critic loss:7.919, L:14.033, 0min2sec
step:2460/13000, actic loss:-29.744, critic loss:7.887, L:14.003, 0min2sec
step:2470/13000, actic loss:-29.623, critic loss:7.856, L:13.975, 0min2sec
step:2480/13000, actic loss:-29.507, critic loss:7.825, L:13.947, 0min2sec
step:2490/13000, actic loss:-29.388, critic loss:7.795, L:13.919, 0min2sec
step:2500/13000, actic loss:-29.270, critic loss:7.765, L:13.891, 0min2sec
step:2510/13000, actic loss:-29.151, critic loss:7.735, L:13.864, 0min2sec
step:2520/13000, actic loss:-29.038, critic loss:7.705, L:13.836, 0min2sec
step:2530/13000, actic loss:-28.924, critic loss:7.676, L:13.809, 0min2sec
step:2540/13000, actic loss:-28.807, critic loss:7.646, L:13.782, 0min2sec
step:2550/13000, actic loss:-28.695, critic loss:7.617, L:13.755, 0min2sec
step:2560/13000, actic loss:-28.584, critic loss:7.588, L:13.728, 0min2sec
step:2570/13000, actic loss:-28.475, critic loss:7.560, L:13.702, 0min2sec
step:2580/13000, actic loss:-28.364, critic loss:7.531, L:13.675, 0min2sec
step:2590/13000, actic loss:-28.257, critic loss:7.503, L:13.649, 0min2sec
step:2600/13000, actic loss:-28.155, critic loss:7.475, L:13.624, 0min2sec
step:2610/13000, actic loss:-28.029, critic loss:7.448, L:13.598, 0min2sec
step:2620/13000, actic loss:-27.942, critic loss:7.422, L:13.573, 0min2sec
step:2630/13000, actic loss:-27.824, critic loss:7.396, L:13.548, 0min2sec
step:2640/13000, actic loss:-27.722, critic loss:7.369, L:13.523, 0min2sec
step:2650/13000, actic loss:-27.613, critic loss:7.342, L:13.499, 0min2sec
step:2660/13000, actic loss:-27.512, critic loss:7.316, L:13.475, 0min2sec
step:2670/13000, actic loss:-27.408, critic loss:7.289, L:13.450, 0min2sec
step:2680/13000, actic loss:-27.308, critic loss:7.262, L:13.425, 0min2sec
step:2690/13000, actic loss:-27.207, critic loss:7.236, L:13.401, 0min2sec
step:2700/13000, actic loss:-27.108, critic loss:7.210, L:13.377, 0min2sec
step:2710/13000, actic loss:-27.002, critic loss:7.185, L:13.353, 0min2sec
step:2720/13000, actic loss:-26.911, critic loss:7.159, L:13.329, 0min2sec
step:2730/13000, actic loss:-26.814, critic loss:7.134, L:13.305, 0min2sec
step:2740/13000, actic loss:-26.717, critic loss:7.108, L:13.282, 0min2sec
step:2750/13000, actic loss:-26.622, critic loss:7.083, L:13.258, 0min2sec
step:2760/13000, actic loss:-26.524, critic loss:7.058, L:13.235, 0min2sec
step:2770/13000, actic loss:-26.428, critic loss:7.034, L:13.212, 0min2sec
step:2780/13000, actic loss:-26.338, critic loss:7.010, L:13.189, 0min2sec
step:2790/13000, actic loss:-26.250, critic loss:6.986, L:13.167, 0min2sec
step:2800/13000, actic loss:-26.153, critic loss:6.962, L:13.144, 0min2sec
step:2810/13000, actic loss:-26.062, critic loss:6.938, L:13.122, 0min2sec
step:2820/13000, actic loss:-25.972, critic loss:6.914, L:13.099, 0min2sec
step:2830/13000, actic loss:-25.880, critic loss:6.890, L:13.077, 0min2sec
step:2840/13000, actic loss:-25.789, critic loss:6.867, L:13.055, 0min2sec
step:2850/13000, actic loss:-25.699, critic loss:6.843, L:13.033, 0min2sec
step:2860/13000, actic loss:-25.612, critic loss:6.820, L:13.012, 0min2sec
step:2870/13000, actic loss:-25.526, critic loss:6.797, L:12.991, 0min2sec
step:2880/13000, actic loss:-25.439, critic loss:6.775, L:12.969, 0min2sec
step:2890/13000, actic loss:-25.346, critic loss:6.752, L:12.948, 0min2sec
step:2900/13000, actic loss:-25.261, critic loss:6.730, L:12.927, 0min2sec
step:2910/13000, actic loss:-25.175, critic loss:6.707, L:12.906, 0min2sec
step:2920/13000, actic loss:-25.090, critic loss:6.685, L:12.885, 0min2sec
step:2930/13000, actic loss:-25.005, critic loss:6.663, L:12.865, 0min2sec
step:2940/13000, actic loss:-24.921, critic loss:6.641, L:12.844, 0min2sec
step:2950/13000, actic loss:-24.836, critic loss:6.619, L:12.823, 0min2sec
step:2960/13000, actic loss:-24.753, critic loss:6.597, L:12.803, 0min2sec
step:2970/13000, actic loss:-24.671, critic loss:6.576, L:12.783, 0min2sec
step:2980/13000, actic loss:-24.590, critic loss:6.554, L:12.763, 0min2sec
step:2990/13000, actic loss:-24.510, critic loss:6.533, L:12.743, 0min2sec
step:3000/13000, actic loss:-24.429, critic loss:6.512, L:12.723, 0min2sec
step:3010/13000, actic loss:-24.349, critic loss:6.491, L:12.703, 0min2sec
step:3020/13000, actic loss:-24.269, critic loss:6.470, L:12.683, 0min2sec
step:3030/13000, actic loss:-24.190, critic loss:6.449, L:12.664, 0min2sec
step:3040/13000, actic loss:-24.113, critic loss:6.429, L:12.644, 0min2sec
step:3050/13000, actic loss:-24.033, critic loss:6.408, L:12.625, 0min2sec
step:3060/13000, actic loss:-23.957, critic loss:6.388, L:12.606, 0min2sec
step:3070/13000, actic loss:-23.882, critic loss:6.368, L:12.587, 0min2sec
step:3080/13000, actic loss:-23.805, critic loss:6.348, L:12.568, 0min2sec
step:3090/13000, actic loss:-23.729, critic loss:6.328, L:12.549, 0min2sec
step:3100/13000, actic loss:-23.653, critic loss:6.308, L:12.530, 0min2sec
step:3110/13000, actic loss:-23.578, critic loss:6.288, L:12.511, 0min2sec
step:3120/13000, actic loss:-23.503, critic loss:6.269, L:12.493, 0min2sec
step:3130/13000, actic loss:-23.429, critic loss:6.249, L:12.474, 0min2sec
step:3140/13000, actic loss:-23.354, critic loss:6.230, L:12.456, 0min2sec
step:3150/13000, actic loss:-23.281, critic loss:6.211, L:12.438, 0min2sec
step:3160/13000, actic loss:-23.208, critic loss:6.191, L:12.420, 0min2sec
step:3170/13000, actic loss:-23.137, critic loss:6.173, L:12.402, 0min2sec
step:3180/13000, actic loss:-23.064, critic loss:6.154, L:12.384, 0min2sec
step:3190/13000, actic loss:-22.992, critic loss:6.135, L:12.366, 0min2sec
step:3200/13000, actic loss:-22.923, critic loss:6.116, L:12.349, 0min2sec
step:3210/13000, actic loss:-22.853, critic loss:6.098, L:12.331, 0min2sec
step:3220/13000, actic loss:-22.782, critic loss:6.080, L:12.314, 0min2sec
step:3230/13000, actic loss:-22.719, critic loss:6.062, L:12.297, 0min2sec
step:3240/13000, actic loss:-22.640, critic loss:6.045, L:12.280, 0min2sec
step:3250/13000, actic loss:-22.580, critic loss:6.028, L:12.264, 0min2sec
step:3260/13000, actic loss:-22.511, critic loss:6.010, L:12.248, 0min2sec
step:3270/13000, actic loss:-22.442, critic loss:5.992, L:12.231, 0min2sec
step:3280/13000, actic loss:-22.376, critic loss:5.975, L:12.214, 0min2sec
