step,actic loss,critic loss,average distance,time
10,-746.8264,168.1540,13.0405,0min1sec
20,-630.5460,129.9809,13.0033,0min1sec
30,-373.2533,92.5060,12.9558,0min1sec
40,-275.1266,70.7752,12.7096,0min1sec
50,-218.1560,57.2840,12.2164,0min1sec
60,-182.7497,48.1639,11.7666,0min1sec
70,-156.9016,41.6293,11.4160,0min1sec
80,-137.5829,36.6936,11.1367,0min1sec
90,-122.8662,32.8727,10.9327,0min1sec
100,-110.6768,29.7936,10.7566,0min1sec
110,-100.7423,27.2610,10.6114,0min1sec
120,-92.4669,25.1478,10.4855,0min1sec
130,-85.4211,23.3533,10.3800,0min1sec
140,-79.4565,21.8113,10.2875,0min1sec
150,-74.2090,20.4783,10.2071,0min1sec
160,-69.6394,19.3128,10.1365,0min1sec
170,-65.6081,18.2760,10.0729,0min1sec
180,-61.9577,17.3520,10.0185,0min1sec
190,-58.7274,16.5253,9.9714,0min1sec
200,-55.7916,15.7827,9.9289,0min1sec
210,-53.1407,15.1087,9.8921,0min1sec
220,-50.7243,14.4934,9.8623,0min1sec
230,-48.5096,13.9337,9.8288,0min1sec
240,-46.4696,13.4239,9.7982,0min1sec
250,-44.6432,12.9569,9.7694,0min1sec
260,-42.9687,12.5240,9.7414,0min1sec
270,-41.3974,12.1204,9.7164,0min1sec
280,-39.9077,11.7452,9.6939,0min1sec
290,-38.5426,11.4020,9.6737,0min1sec
300,-37.2408,11.0762,9.6557,0min1sec
310,-36.0366,10.7688,9.6431,0min1sec
320,-34.9234,10.4795,9.6288,0min1sec
330,-33.8446,10.2118,9.6120,0min1sec
340,-32.8733,9.9619,9.5962,0min1sec
350,-31.9243,9.7228,9.5822,0min1sec
360,-31.0518,9.4971,9.5701,0min1sec
370,-30.2122,9.2836,9.5552,0min1sec
380,-29.4130,9.0797,9.5421,0min1sec
390,-28.6647,8.8860,9.5287,0min1sec
400,-27.9497,8.7032,9.5169,0min1sec
410,-27.2721,8.5291,9.5058,0min1sec
420,-26.6185,8.3658,9.4951,0min1sec
430,-26.0050,8.2089,9.4851,0min1sec
440,-25.4287,8.0582,9.4754,0min1sec
450,-24.8659,7.9148,9.4675,0min1sec
460,-24.3152,7.7784,9.4583,0min1sec
470,-23.8064,7.6460,9.4493,0min1sec
480,-23.3090,7.5191,9.4408,0min1sec
490,-22.8277,7.3982,9.4328,0min1sec
500,-22.3770,7.2825,9.4259,0min1sec
510,-21.9452,7.1721,9.4206,0min1sec
520,-21.5329,7.0678,9.4160,0min1sec
530,-21.1174,6.9658,9.4093,0min1sec
540,-20.7377,6.8689,9.4034,0min1sec
550,-20.3617,6.7734,9.3969,0min1sec
560,-20.0016,6.6795,9.3905,0min1sec
570,-19.6531,6.5894,9.3841,0min1sec
580,-19.3226,6.5034,9.3779,0min1sec
590,-19.0062,6.4200,9.3726,0min1sec
600,-18.6842,6.3383,9.3680,0min1sec
610,-18.3797,6.2600,9.3668,0min1sec
620,-18.0927,6.1841,9.3680,0min1sec
630,-17.8024,6.1115,9.3680,0min1sec
640,-17.5218,6.0405,9.3653,0min1sec
650,-17.2568,5.9731,9.3617,0min1sec
660,-17.0004,5.9098,9.3592,0min1sec
670,-16.7446,5.8488,9.3564,0min1sec
680,-16.5040,5.7888,9.3529,0min1sec
690,-16.2623,5.7301,9.3499,0min1sec
700,-16.0334,5.6742,9.3473,0min1sec
710,-15.8101,5.6184,9.3442,0min1sec
720,-15.5969,5.5637,9.3404,0min1sec
730,-15.3863,5.5108,9.3371,0min1sec
740,-15.1744,5.4604,9.3342,0min1sec
750,-14.9701,5.4120,9.3318,0min1sec
760,-14.7821,5.3644,9.3294,0min1sec
770,-14.5934,5.3172,9.3265,0min1sec
780,-14.4060,5.2710,9.3231,0min1sec
790,-14.2261,5.2247,9.3195,0min1sec
800,-14.0442,5.1803,9.3163,0min1sec
810,-13.8710,5.1363,9.3134,0min1sec
820,-13.7038,5.0931,9.3102,0min1sec
830,-13.5405,5.0507,9.3071,0min1sec
840,-13.3831,5.0092,9.3039,0min1sec
850,-13.2242,4.9689,9.3011,0min1sec
860,-13.0739,4.9290,9.2989,0min1sec
870,-12.9149,4.8910,9.2987,0min1sec
880,-12.7716,4.8526,9.2963,0min1sec
890,-12.6300,4.8161,9.2935,0min1sec
900,-12.4919,4.7801,9.2903,0min1sec
910,-12.3639,4.7459,9.2875,0min1sec
920,-12.2317,4.7116,9.2849,0min1sec
930,-12.0988,4.6784,9.2823,0min1sec
940,-11.9760,4.6455,9.2797,0min1sec
950,-11.8475,4.6137,9.2774,0min1sec
960,-11.7252,4.5822,9.2750,0min1sec
970,-11.6038,4.5508,9.2728,0min1sec
980,-11.4853,4.5201,9.2708,0min1sec
990,-11.3739,4.4905,9.2688,0min1sec
1000,-11.2598,4.4612,9.2671,0min1sec
1010,-11.1519,4.4334,9.2670,0min1sec
1020,-11.0369,4.4061,9.2673,0min1sec
1030,-10.9279,4.3783,9.2666,0min1sec
1040,-10.8304,4.3525,9.2646,0min1sec
1050,-10.7214,4.3277,9.2630,0min1sec
1060,-10.6246,4.3021,9.2610,0min1sec
1070,-10.5217,4.2769,9.2594,0min1sec
1080,-10.4297,4.2522,9.2578,0min1sec
1090,-10.3352,4.2272,9.2574,0min1sec
1100,-10.2392,4.2032,9.2558,0min1sec
1110,-10.1520,4.1791,9.2541,0min1sec
1120,-10.0544,4.1566,9.2523,0min1sec
1130,-9.9747,4.1330,9.2511,0min1sec
1140,-9.8865,4.1093,9.2499,0min1sec
1150,-9.8002,4.0857,9.2480,0min1sec
1160,-9.7166,4.0615,9.2462,0min1sec
1170,-9.6358,4.0382,9.2446,0min1sec
1180,-9.5588,4.0154,9.2430,0min1sec
1190,-9.4795,3.9937,9.2415,0min1sec
1200,-9.4087,3.9733,9.2398,0min1sec
1210,-9.3189,3.9541,9.2380,0min1sec
1220,-9.2407,3.9323,9.2367,0min1sec
1230,-9.1678,3.9111,9.2353,0min1sec
1240,-9.0915,3.8905,9.2342,0min1sec
1250,-9.0191,3.8688,9.2340,0min1sec
1260,-8.9465,3.8479,9.2326,0min1sec
1270,-8.8776,3.8286,9.2314,0min1sec
1280,-8.8097,3.8080,9.2303,0min1sec
1290,-8.7377,3.7874,9.2295,0min1sec
1300,-8.6706,3.7671,9.2285,0min1sec
1310,-8.5999,3.7481,9.2272,0min1sec
1320,-8.5407,3.7306,9.2260,0min1sec
1330,-8.4734,3.7123,9.2248,0min1sec
1340,-8.4053,3.6942,9.2241,0min1sec
1350,-8.3423,3.6757,9.2227,0min1sec
1360,-8.2773,3.6591,9.2213,0min1sec
1370,-8.2205,3.6441,9.2199,0min1sec
1380,-8.1722,3.6272,9.2186,0min1sec
1390,-8.1077,3.6097,9.2175,0min1sec
1400,-8.0434,3.5930,9.2162,0min1sec
1410,-7.9952,3.5767,9.2149,0min1sec
1420,-7.9455,3.5600,9.2133,0min1sec
1430,-7.8895,3.5430,9.2121,0min1sec
1440,-7.8385,3.5264,9.2109,0min1sec
1450,-7.7847,3.5097,9.2100,0min1sec
1460,-7.7321,3.4935,9.2088,0min1sec
1470,-7.6803,3.4771,9.2074,0min1sec
1480,-7.6255,3.4615,9.2057,0min1sec
1490,-7.5734,3.4453,9.2042,0min1sec
1500,-7.5194,3.4298,9.2028,0min1sec
1510,-7.4712,3.4143,9.2009,0min1sec
1520,-7.4212,3.3990,9.1991,0min1sec
1530,-7.3710,3.3839,9.1970,0min1sec
1540,-7.3227,3.3688,9.1939,0min1sec
1550,-7.2816,3.3536,9.1872,0min1sec
1560,-7.2367,3.3376,9.1732,0min1sec
1570,-7.1880,3.3214,9.1546,0min1sec
1580,-7.1466,3.3049,9.1350,0min1sec
1590,-7.1050,3.2880,9.1146,0min1sec
1600,-7.0654,3.2709,9.0943,0min1sec
1610,-7.0171,3.2536,9.0737,0min1sec
1620,-6.9747,3.2360,9.0527,0min1sec
1630,-6.9374,3.2191,9.0328,0min1sec
1640,-6.8959,3.2018,9.0114,0min1sec
1650,-6.8553,3.1849,8.9897,0min1sec
1660,-6.8175,3.1677,8.9679,0min1sec
1670,-6.7781,3.1506,8.9459,0min1sec
1680,-6.7397,3.1337,8.9239,0min1sec
1690,-6.7017,3.1169,8.9015,0min1sec
1700,-6.6644,3.1000,8.8792,0min1sec
1710,-6.6272,3.0834,8.8571,0min1sec
1720,-6.5907,3.0669,8.8350,0min1sec
1730,-6.5541,3.0504,8.8129,0min1sec
1740,-6.5166,3.0345,8.7914,0min1sec
1750,-6.4810,3.0185,8.7696,0min1sec
1760,-6.4457,3.0025,8.7478,0min1sec
1770,-6.4101,2.9867,8.7261,0min1sec
1780,-6.3745,2.9712,8.7046,0min1sec
1790,-6.3414,2.9557,8.6833,0min1sec
