step,actic loss,critic loss,average distance,time
10,-2270.9361,430.4669,20.8621,0min1sec
20,-1992.8404,347.0456,20.8504,0min1sec
30,-1345.1223,243.3329,20.8410,0min1sec
40,-954.2401,187.5486,20.8132,0min1sec
50,-766.3027,151.4116,20.5578,0min1sec
60,-639.5780,127.0508,19.9152,0min1sec
70,-550.1956,109.5454,19.1863,0min1sec
80,-482.4691,96.3396,18.6117,0min1sec
90,-429.6342,86.0453,18.1305,0min1sec
100,-387.4333,77.7944,17.7277,0min1sec
110,-352.5949,71.0256,17.3942,0min1sec
120,-323.6110,65.3706,17.1138,0min1sec
130,-299.1136,60.5683,16.8756,0min1sec
140,-277.8152,56.4548,16.6708,0min1sec
150,-259.3983,52.8857,16.4937,0min1sec
160,-243.2416,49.7629,16.3367,0min1sec
170,-229.2001,47.0035,16.2031,0min1sec
180,-216.5051,44.5559,16.0743,0min1sec
190,-205.1562,42.3630,15.9627,0min1sec
200,-195.0374,40.3910,15.8587,0min1sec
210,-185.6992,38.6046,15.7621,0min1sec
220,-177.4839,36.9871,15.6753,0min1sec
230,-169.8203,35.5049,15.5947,0min1sec
240,-162.8666,34.1475,15.5240,0min1sec
250,-156.3664,32.8939,15.4594,0min1sec
260,-150.3108,31.7348,15.3977,0min1sec
270,-144.8066,30.6654,15.3438,0min1sec
280,-139.6217,29.6750,15.2920,0min1sec
290,-134.8495,28.7554,15.2452,0min1sec
300,-130.3888,27.9011,15.2030,0min1sec
310,-126.2129,27.1033,15.1638,0min1sec
320,-122.1859,26.3593,15.1281,0min1sec
330,-118.5566,25.6585,15.0948,0min1sec
340,-115.1035,24.9959,15.0661,0min1sec
350,-111.8487,24.3687,15.0403,0min1sec
360,-108.7698,23.7747,15.0139,0min1sec
370,-105.8222,23.2097,14.9897,0min1sec
380,-103.1162,22.6782,14.9655,0min1sec
390,-100.5408,22.1724,14.9436,0min1sec
400,-98.0455,21.6884,14.9209,0min1sec
410,-95.6448,21.2273,14.8996,0min1sec
420,-93.3796,20.7873,14.8792,0min1sec
