step,actic loss,critic loss,average distance,time
10,-2240.3931,427.4782,20.7851,0min1sec
20,-1846.5593,344.8118,20.7088,0min1sec
30,-1234.9028,243.2989,20.7314,0min2sec
40,-863.0292,190.2369,20.4660,0min1sec
50,-698.5280,153.5882,19.6837,0min1sec
60,-584.7717,128.8858,18.9045,0min1sec
70,-503.2415,111.1320,18.2909,0min2sec
80,-441.0827,97.7552,17.7928,0min1sec
90,-392.9248,87.3377,17.4138,0min1sec
100,-354.3856,78.9730,17.1032,0min1sec
110,-322.7204,72.1202,16.8409,0min1sec
120,-296.0213,66.4008,16.6441,0min1sec
130,-273.5944,61.5488,16.4722,0min1sec
140,-254.1688,57.3850,16.3152,0min1sec
150,-237.2766,53.7674,16.1719,0min1sec
160,-222.6400,50.6066,16.0503,0min1sec
170,-209.6219,47.8157,15.9446,0min1sec
180,-197.8484,45.3280,15.8583,0min1sec
190,-187.5724,43.1057,15.7842,0min1sec
200,-178.3488,41.1048,15.7146,0min1sec
210,-169.8459,39.2950,15.6494,0min1sec
220,-162.1213,37.6539,15.5869,0min1sec
230,-155.2109,36.1546,15.5251,0min1sec
240,-148.7477,34.7708,15.4674,0min1sec
250,-142.8382,33.4987,15.4184,0min1sec
260,-137.3933,32.3169,15.3741,0min1sec
270,-132.3226,31.2260,15.3278,0min1sec
280,-127.5887,30.2079,15.2825,0min1sec
290,-123.2032,29.2629,15.2391,0min1sec
300,-119.1371,28.3787,15.2019,0min1sec
310,-115.2874,27.5522,15.1668,0min1sec
320,-111.7145,26.7746,15.1305,0min1sec
330,-108.2897,26.0476,15.0984,0min1sec
340,-105.1086,25.3602,15.0685,0min1sec
350,-102.1182,24.7122,15.0426,0min1sec
360,-99.3715,24.1058,15.0164,0min1sec
370,-96.6693,23.5320,14.9916,0min1sec
380,-94.2298,22.9857,14.9670,0min1sec
390,-91.6787,22.4711,14.9430,0min1sec
400,-89.3674,21.9804,14.9161,0min1sec
410,-87.1963,21.5137,14.8953,0min1sec
420,-85.0511,21.0680,14.8792,0min1sec
430,-83.2770,20.6507,14.8627,0min1sec
440,-81.3269,20.2462,14.8421,0min1sec
450,-79.5359,19.8562,14.8218,0min1sec
460,-77.8042,19.4826,14.8018,0min1sec
470,-76.1754,19.1243,14.7845,0min1sec
480,-74.5893,18.7837,14.7650,0min1sec
490,-73.0735,18.4572,14.7471,0min1sec
500,-71.6550,18.1423,14.7296,0min1sec
510,-70.2367,17.8385,14.7131,0min1sec
520,-68.9306,17.5453,14.6972,0min1sec
530,-67.6702,17.2664,14.6811,0min1sec
540,-66.4396,16.9973,14.6662,0min1sec
550,-65.2534,16.7371,14.6521,0min1sec
560,-64.1077,16.4850,14.6375,0min1sec
570,-63.0237,16.2438,14.6228,0min1sec
580,-61.9961,16.0115,14.6083,0min1sec
590,-60.9578,15.7871,14.5931,0min1sec
600,-59.9311,15.5750,14.5793,0min1sec
610,-58.9440,15.3645,14.5649,0min1sec
620,-58.0078,15.1601,14.5516,0min1sec
630,-57.1124,14.9625,14.5386,0min1sec
640,-56.2383,14.7704,14.5275,0min1sec
650,-55.4066,14.5823,14.5218,0min1sec
660,-54.6314,14.4037,14.5135,0min2sec
670,-53.8285,14.2285,14.5046,0min1sec
680,-53.0154,14.0593,14.4949,0min1sec
690,-52.2457,13.8926,14.4861,0min1sec
700,-51.5070,13.7316,14.4785,0min1sec
710,-50.7741,13.5738,14.4696,0min1sec
720,-50.0820,13.4201,14.4608,0min1sec
730,-49.4061,13.2709,14.4522,0min1sec
740,-48.7512,13.1269,14.4442,0min1sec
750,-48.0980,12.9888,14.4361,0min1sec
760,-47.4485,12.8526,14.4278,0min1sec
770,-46.8297,12.7181,14.4184,0min1sec
780,-46.2283,12.5877,14.4093,0min1sec
790,-45.6591,12.4617,14.4016,0min1sec
800,-45.1037,12.3380,14.3951,0min1sec
810,-44.5489,12.2170,14.3894,0min1sec
820,-43.9944,12.0998,14.3830,0min1sec
830,-43.4717,11.9840,14.3754,0min1sec
840,-42.9602,11.8728,14.3678,0min1sec
850,-42.4404,11.7650,14.3607,0min1sec
860,-41.9904,11.6586,14.3534,0min1sec
870,-41.4629,11.5551,14.3463,0min1sec
880,-41.0034,11.4534,14.3389,0min1sec
890,-40.5356,11.3557,14.3323,0min1sec
900,-40.0830,11.2579,14.3254,0min1sec
910,-39.6497,11.1622,14.3188,0min1sec
920,-39.2240,11.0693,14.3121,0min1sec
930,-38.7772,10.9801,14.3053,0min1sec
940,-38.3656,10.8931,14.2986,0min1sec
950,-37.9780,10.8073,14.2918,0min1sec
960,-37.5747,10.7217,14.2870,0min1sec
970,-37.1901,10.6371,14.2826,0min1sec
980,-36.8252,10.5551,14.2770,0min1sec
990,-36.4664,10.4739,14.2726,0min1sec
1000,-36.0908,10.3945,14.2707,0min1sec
1010,-35.7453,10.3157,14.2685,0min1sec
1020,-35.4162,10.2389,14.2658,0min1sec
1030,-35.0562,10.1640,14.2633,0min1sec
1040,-34.7357,10.0914,14.2589,0min1sec
1050,-34.4043,10.0195,14.2548,0min1sec
1060,-34.0945,9.9492,14.2493,0min1sec
1070,-33.7804,9.8798,14.2444,0min1sec
1080,-33.4609,9.8129,14.2402,0min1sec
1090,-33.1539,9.7465,14.2348,0min1sec
1100,-32.8477,9.6819,14.2295,0min1sec
1110,-32.5508,9.6185,14.2241,0min1sec
1120,-32.2626,9.5579,14.2195,0min1sec
1130,-31.9791,9.4970,14.2153,0min1sec
1140,-31.7080,9.4365,14.2114,0min1sec
1150,-31.4325,9.3761,14.2077,0min1sec
1160,-31.1606,9.3172,14.2049,0min1sec
1170,-30.8950,9.2589,14.2026,0min1sec
1180,-30.5984,9.2048,14.2000,0min1sec
1190,-30.3804,9.1525,14.1973,0min1sec
1200,-30.1273,9.0979,14.1939,0min1sec
1210,-29.8790,9.0432,14.1915,0min1sec
1220,-29.6282,8.9895,14.1887,0min1sec
1230,-29.3766,8.9367,14.1864,0min1sec
1240,-29.1814,8.8915,14.1848,0min1sec
1250,-28.9481,8.8403,14.1821,0min2sec
1260,-28.7224,8.7879,14.1787,0min1sec
1270,-28.5008,8.7395,14.1748,0min1sec
1280,-28.2695,8.6920,14.1705,0min1sec
1290,-28.0461,8.6417,14.1665,0min1sec
1300,-27.8404,8.5908,14.1631,0min1sec
1310,-27.6221,8.5406,14.1609,0min1sec
1320,-27.4070,8.4916,14.1588,0min1sec
1330,-27.2116,8.4430,14.1561,0min1sec
1340,-27.0075,8.3951,14.1525,0min1sec
1350,-26.8002,8.3480,14.1485,0min1sec
1360,-26.6068,8.3007,14.1451,0min1sec
1370,-26.4145,8.2540,14.1413,0min1sec
1380,-26.2263,8.2077,14.1375,0min1sec
1390,-26.0437,8.1649,14.1338,0min1sec
1400,-25.8554,8.1202,14.1303,0min1sec
1410,-25.6703,8.0764,14.1269,0min1sec
1420,-25.4837,8.0328,14.1240,0min1sec
1430,-25.3044,7.9894,14.1219,0min1sec
1440,-25.1356,7.9470,14.1204,0min1sec
1450,-24.9645,7.9044,14.1182,0min1sec
1460,-24.7991,7.8623,14.1149,0min1sec
1470,-24.6106,7.8222,14.1120,0min1sec
1480,-24.4446,7.7814,14.1092,0min1sec
1490,-24.2823,7.7413,14.1062,0min1sec
1500,-24.1102,7.7045,14.1034,0min1sec
1510,-23.9648,7.6660,14.1009,0min1sec
1520,-23.8204,7.6292,14.0991,0min1sec
1530,-23.6608,7.5918,14.0986,0min1sec
1540,-23.4937,7.5550,14.0980,0min1sec
1550,-23.3342,7.5191,14.0972,0min1sec
1560,-23.1835,7.4819,14.0954,0min1sec
1570,-23.0306,7.4468,14.0930,0min1sec
1580,-22.8827,7.4124,14.0906,0min1sec
1590,-22.7341,7.3786,14.0881,0min1sec
1600,-22.5997,7.3437,14.0855,0min1sec
1610,-22.4512,7.3100,14.0832,0min1sec
1620,-22.3121,7.2796,14.0803,0min1sec
1630,-22.1793,7.2466,14.0780,0min1sec
1640,-22.0585,7.2153,14.0754,0min1sec
1650,-21.9256,7.1826,14.0730,0min1sec
1660,-21.7930,7.1503,14.0709,0min1sec
1670,-21.6643,7.1192,14.0684,0min1sec
1680,-21.5366,7.0882,14.0658,0min1sec
1690,-21.4119,7.0593,14.0633,0min1sec
1700,-21.2861,7.0291,14.0606,0min1sec
1710,-21.1648,6.9987,14.0581,0min1sec
1720,-21.0288,6.9694,14.0554,0min1sec
1730,-20.9090,6.9397,14.0531,0min1sec
1740,-20.7857,6.9104,14.0506,0min1sec
1750,-20.6677,6.8814,14.0486,0min1sec
1760,-20.5479,6.8524,14.0466,0min1sec
1770,-20.4302,6.8241,14.0447,0min1sec
1780,-20.3114,6.7968,14.0427,0min1sec
1790,-20.2255,6.7714,14.0409,0min1sec
1800,-20.1224,6.7439,14.0392,0min1sec
1810,-20.0034,6.7175,14.0372,0min1sec
1820,-19.8986,6.6930,14.0348,0min1sec
1830,-19.7851,6.6684,14.0325,0min1sec
1840,-19.6772,6.6425,14.0300,0min2sec
1850,-19.5677,6.6162,14.0278,0min1sec
1860,-19.4616,6.5905,14.0258,0min1sec
1870,-19.3462,6.5651,14.0236,0min1sec
1880,-19.2459,6.5421,14.0210,0min1sec
1890,-19.1561,6.5172,14.0185,0min1sec
1900,-19.0506,6.4925,14.0161,0min1sec
1910,-18.9498,6.4676,14.0138,0min1sec
1920,-18.8527,6.4434,14.0116,0min1sec
1930,-18.7563,6.4192,14.0091,0min1sec
1940,-18.6669,6.3956,14.0066,0min1sec
1950,-18.5799,6.3723,14.0041,0min1sec
1960,-18.4925,6.3490,14.0022,0min1sec
1970,-18.3971,6.3258,13.9999,0min1sec
1980,-18.3071,6.3030,13.9977,0min1sec
1990,-18.2166,6.2802,13.9956,0min1sec
2000,-18.1257,6.2578,13.9932,0min1sec
2010,-18.0377,6.2356,13.9907,0min1sec
2020,-17.9488,6.2137,13.9882,0min1sec
2030,-17.8595,6.1921,13.9855,0min1sec
2040,-17.7752,6.1712,13.9826,0min1sec
2050,-17.6958,6.1506,13.9798,0min1sec
2060,-17.6076,6.1302,13.9771,0min1sec
2070,-17.5187,6.1093,13.9746,0min1sec
2080,-17.4362,6.0887,13.9715,0min1sec
2090,-17.3526,6.0684,13.9684,0min1sec
2100,-17.2738,6.0483,13.9654,0min1sec
2110,-17.1942,6.0282,13.9623,0min1sec
2120,-17.1042,6.0082,13.9592,0min1sec
2130,-17.0297,5.9884,13.9558,0min1sec
2140,-16.9497,5.9694,13.9519,0min1sec
2150,-16.8584,5.9502,13.9465,0min1sec
2160,-16.7664,5.9283,13.9326,0min1sec
2170,-16.6918,5.9042,13.9117,0min1sec
2180,-16.6208,5.8793,13.8880,0min1sec
2190,-16.5459,5.8542,13.8620,0min1sec
2200,-16.4730,5.8293,13.8354,0min1sec
2210,-16.4056,5.8045,13.8079,0min1sec
2220,-16.3326,5.7801,13.7800,0min1sec
2230,-16.2600,5.7556,13.7517,0min1sec
2240,-16.1856,5.7317,13.7240,0min1sec
2250,-16.1160,5.7077,13.6961,0min1sec
2260,-16.0426,5.6839,13.6684,0min1sec
2270,-15.9757,5.6607,13.6410,0min1sec
2280,-15.9077,5.6372,13.6139,0min1sec
2290,-15.8381,5.6138,13.5863,0min1sec
2300,-15.7555,5.5917,13.5597,0min1sec
2310,-15.6929,5.5697,13.5340,0min1sec
2320,-15.6369,5.5478,13.5077,0min1sec
2330,-15.5708,5.5252,13.4809,0min1sec
2340,-15.5048,5.5028,13.4544,0min1sec
2350,-15.4430,5.4806,13.4280,0min1sec
