step,actic loss,critic loss,average distance,time
10,-746.8972,168.0210,13.0179,0min0sec
20,-658.6680,137.0939,13.0341,0min0sec
30,-399.1070,97.6652,13.0326,0min0sec
40,-299.1394,75.2770,13.0303,0min0sec
50,-240.7504,61.0571,13.0226,0min0sec
60,-202.8839,51.4062,13.0299,0min0sec
70,-172.9573,44.4505,13.0320,0min0sec
80,-151.9553,39.2080,13.0308,0min0sec
90,-135.2062,35.1153,13.0216,0min0sec
100,-120.9951,31.8195,12.8674,0min0sec
110,-110.4850,29.1058,12.5634,0min0sec
120,-101.4531,26.8416,12.2888,0min0sec
130,-93.6504,24.9280,12.0538,0min0sec
140,-87.0753,23.2873,11.8518,0min0sec
150,-81.3625,21.8700,11.6721,0min0sec
160,-76.3151,20.6255,11.5159,0min0sec
170,-71.8721,19.5296,11.3813,0min0sec
180,-67.8945,18.5533,11.2618,0min0sec
190,-64.3300,17.6804,11.1553,0min0sec
200,-61.1714,16.8906,11.0547,0min0sec
210,-58.3310,16.1741,10.9644,0min0sec
220,-55.6542,15.5234,10.8816,0min0sec
230,-53.2789,14.9265,10.8042,0min0sec
240,-51.1042,14.3810,10.7325,0min0sec
250,-49.0990,13.8758,10.6665,0min0sec
260,-47.2431,13.4098,10.6054,0min0sec
270,-45.5161,12.9801,10.5500,0min0sec
280,-43.9125,12.5762,10.4990,0min0sec
290,-42.4057,12.1992,10.4494,0min0sec
300,-40.9814,11.8481,10.4042,0min0sec
310,-39.6785,11.5187,10.3619,0min0sec
320,-38.4221,11.2130,10.3215,0min0sec
330,-37.2672,10.9230,10.2843,0min0sec
340,-36.1888,10.6514,10.2514,0min0sec
350,-35.1575,10.3989,10.2182,0min0sec
360,-34.1814,10.1583,10.1888,0min0sec
370,-33.2448,9.9331,10.1629,0min0sec
380,-32.3829,9.7175,10.1373,0min0sec
390,-31.5654,9.5142,10.1127,0min0sec
400,-30.8025,9.3236,10.0898,0min0sec
410,-30.0274,9.1424,10.0675,0min0sec
420,-29.3218,8.9672,10.0451,0min0sec
430,-28.6520,8.7976,10.0239,0min0sec
440,-28.0086,8.6377,10.0047,0min0sec
450,-27.3798,8.4851,9.9836,0min0sec
460,-26.7950,8.3355,9.9637,0min0sec
470,-26.2260,8.1929,9.9452,0min0sec
480,-25.6948,8.0547,9.9301,0min0sec
490,-25.1617,7.9239,9.9199,0min0sec
500,-24.6577,7.7981,9.9079,0min0sec
510,-24.1776,7.6779,9.8933,0min0sec
520,-23.7203,7.5625,9.8779,0min0sec
530,-23.2785,7.4530,9.8634,0min0sec
540,-22.8480,7.3479,9.8494,0min0sec
550,-22.4399,7.2458,9.8357,0min0sec
560,-22.0281,7.1490,9.8224,0min0sec
570,-21.6578,7.0538,9.8093,0min0sec
580,-21.3004,6.9631,9.7959,0min0sec
590,-20.9367,6.8716,9.7838,0min0sec
600,-20.5963,6.7840,9.7709,0min0sec
610,-20.2724,6.6995,9.7595,0min0sec
620,-19.9531,6.6185,9.7495,0min0sec
630,-19.6358,6.5385,9.7395,0min0sec
640,-19.3324,6.4612,9.7308,0min0sec
650,-19.0327,6.3866,9.7219,0min0sec
660,-18.7450,6.3131,9.7127,0min0sec
670,-18.4576,6.2425,9.7047,0min0sec
680,-18.1922,6.1739,9.6970,0min0sec
690,-17.9459,6.1078,9.6902,0min0sec
700,-17.6928,6.0423,9.6863,0min0sec
710,-17.4435,5.9797,9.6825,0min0sec
720,-17.2072,5.9211,9.6751,0min0sec
730,-16.9392,5.8660,9.6672,0min0sec
740,-16.7168,5.8079,9.6598,0min0sec
750,-16.4992,5.7514,9.6527,0min0sec
760,-16.2818,5.6957,9.6453,0min0sec
770,-16.0697,5.6413,9.6386,0min0sec
780,-15.8609,5.5885,9.6317,0min0sec
790,-15.6614,5.5370,9.6245,0min0sec
800,-15.4696,5.4878,9.6182,0min0sec
810,-15.2790,5.4392,9.6113,0min0sec
820,-15.0933,5.3917,9.6043,0min0sec
830,-14.9126,5.3458,9.5973,0min0sec
840,-14.7374,5.3007,9.5907,0min0sec
850,-14.5624,5.2572,9.5848,0min0sec
860,-14.3935,5.2141,9.5790,0min0sec
870,-14.2333,5.1720,9.5731,0min0sec
880,-14.0709,5.1313,9.5673,0min0sec
890,-13.9129,5.0916,9.5614,0min0sec
900,-13.7610,5.0521,9.5565,0min0sec
910,-13.6086,5.0131,9.5526,0min0sec
920,-13.4583,4.9761,9.5476,0min0sec
930,-13.3204,4.9413,9.5420,0min0sec
940,-13.1734,4.9062,9.5364,0min0sec
950,-13.0367,4.8715,9.5317,0min0sec
960,-12.9024,4.8372,9.5266,0min0sec
970,-12.7599,4.8054,9.5215,0min0sec
980,-12.6361,4.7720,9.5176,0min0sec
990,-12.5084,4.7398,9.5139,0min0sec
1000,-12.3855,4.7078,9.5093,0min0sec
1010,-12.2635,4.6769,9.5050,0min0sec
1020,-12.1379,4.6468,9.5005,0min0sec
1030,-12.0185,4.6175,9.4959,0min0sec
1040,-11.9014,4.5879,9.4918,0min0sec
1050,-11.7890,4.5589,9.4878,0min0sec
1060,-11.6779,4.5308,9.4833,0min0sec
1070,-11.5743,4.5041,9.4791,0min0sec
1080,-11.4679,4.4773,9.4751,0min0sec
1090,-11.3638,4.4510,9.4712,0min0sec
1100,-11.2606,4.4247,9.4669,0min0sec
1110,-11.1621,4.3993,9.4625,0min0sec
1120,-11.0606,4.3746,9.4585,0min0sec
1130,-10.9637,4.3502,9.4544,0min0sec
1140,-10.8705,4.3260,9.4500,0min0sec
1150,-10.7734,4.3020,9.4459,0min0sec
1160,-10.6813,4.2781,9.4418,0min0sec
1170,-10.5888,4.2542,9.4377,0min0sec
1180,-10.4974,4.2310,9.4339,0min0sec
1190,-10.4097,4.2076,9.4301,0min0sec
1200,-10.3272,4.1845,9.4265,0min0sec
1210,-10.2461,4.1615,9.4227,0min0sec
1220,-10.1586,4.1393,9.4186,0min0sec
1230,-10.0690,4.1166,9.4122,0min0sec
1240,-9.9859,4.0904,9.4016,0min0sec
1250,-9.8973,4.0624,9.3836,0min0sec
1260,-9.8152,4.0366,9.3621,0min0sec
1270,-9.7490,4.0090,9.3374,0min0sec
1280,-9.6749,3.9803,9.3129,0min0sec
1290,-9.6035,3.9516,9.2871,0min0sec
1300,-9.5314,3.9236,9.2613,0min0sec
1310,-9.4631,3.8959,9.2341,0min0sec
1320,-9.3912,3.8684,9.2060,0min0sec
1330,-9.3220,3.8416,9.1779,0min0sec
1340,-9.2554,3.8152,9.1498,0min0sec
1350,-9.1872,3.7889,9.1217,0min0sec
1360,-9.1236,3.7630,9.0938,0min0sec
1370,-9.0599,3.7374,9.0662,0min0sec
1380,-8.9954,3.7121,9.0387,0min0sec
1390,-8.9329,3.6872,9.0113,0min0sec
1400,-8.8718,3.6627,8.9840,0min0sec
1410,-8.8110,3.6385,8.9572,0min0sec
1420,-8.7512,3.6145,8.9305,0min0sec
1430,-8.6922,3.5913,8.9039,0min0sec
1440,-8.6348,3.5682,8.8777,0min0sec
1450,-8.5800,3.5457,8.8520,0min0sec
1460,-8.5210,3.5233,8.8263,0min0sec
1470,-8.4633,3.5010,8.8008,0min0sec
1480,-8.4093,3.4787,8.7754,0min0sec
1490,-8.3546,3.4568,8.7500,0min0sec
1500,-8.2992,3.4354,8.7248,0min0sec
1510,-8.2450,3.4141,8.6999,0min0sec
1520,-8.1932,3.3929,8.6751,0min0sec
1530,-8.1410,3.3719,8.6506,0min0sec
1540,-8.0893,3.3513,8.6263,0min0sec
1550,-8.0388,3.3310,8.6022,0min0sec
1560,-7.9888,3.3109,8.5784,0min0sec
1570,-7.9390,3.2909,8.5546,0min0sec
1580,-7.8890,3.2712,8.5310,0min0sec
1590,-7.8408,3.2517,8.5078,0min0sec
1600,-7.7912,3.2325,8.4849,0min0sec
1610,-7.7442,3.2138,8.4622,0min0sec
1620,-7.6988,3.1950,8.4395,0min0sec
1630,-7.6533,3.1765,8.4171,0min0sec
1640,-7.6075,3.1583,8.3952,0min0sec
1650,-7.5622,3.1402,8.3734,0min0sec
1660,-7.5183,3.1224,8.3520,0min0sec
1670,-7.4747,3.1048,8.3307,0min0sec
1680,-7.4309,3.0874,8.3097,0min0sec
1690,-7.3882,3.0702,8.2891,0min0sec
1700,-7.3453,3.0532,8.2688,0min0sec
1710,-7.3031,3.0363,8.2484,0min0sec
1720,-7.2618,3.0196,8.2281,0min0sec
1730,-7.2208,3.0031,8.2080,0min0sec
1740,-7.1811,2.9868,8.1882,0min0sec
1750,-7.1407,2.9708,8.1690,0min0sec
1760,-7.1017,2.9550,8.1498,0min0sec
1770,-7.0623,2.9392,8.1305,0min0sec
1780,-7.0237,2.9237,8.1117,0min0sec
1790,-6.9850,2.9083,8.0929,0min0sec
1800,-6.9467,2.8930,8.0744,0min0sec
1810,-6.9097,2.8779,8.0559,0min0sec
1820,-6.8719,2.8629,8.0375,0min0sec
1830,-6.8350,2.8483,8.0194,0min0sec
1840,-6.7993,2.8337,8.0014,0min0sec
1850,-6.7635,2.8192,7.9836,0min0sec
1860,-6.7275,2.8048,7.9660,0min0sec
1870,-6.6928,2.7907,7.9487,0min0sec
1880,-6.6581,2.7766,7.9315,0min0sec
1890,-6.6228,2.7628,7.9143,0min0sec
1900,-6.5896,2.7490,7.8974,0min0sec
1910,-6.5564,2.7355,7.8810,0min0sec
1920,-6.5225,2.7222,7.8646,0min0sec
1930,-6.4903,2.7092,7.8483,0min0sec
1940,-6.4569,2.6962,7.8322,0min0sec
1950,-6.4246,2.6832,7.8160,0min0sec
1960,-6.3927,2.6704,7.8004,0min0sec
1970,-6.3606,2.6576,7.7847,0min0sec
1980,-6.3287,2.6451,7.7691,0min0sec
1990,-6.2979,2.6326,7.7536,0min0sec
2000,-6.2663,2.6202,7.7383,0min0sec
2010,-6.2359,2.6080,7.7232,0min0sec
2020,-6.2053,2.5958,7.7082,0min0sec
2030,-6.1750,2.5838,7.6934,0min0sec
2040,-6.1456,2.5719,7.6787,0min0sec
2050,-6.1162,2.5600,7.6640,0min0sec
2060,-6.0868,2.5484,7.6497,0min0sec
2070,-6.0584,2.5369,7.6354,0min0sec
2080,-6.0300,2.5255,7.6214,0min0sec
2090,-6.0017,2.5142,7.6074,0min0sec
2100,-5.9729,2.5030,7.5935,0min0sec
2110,-5.9454,2.4919,7.5797,0min0sec
2120,-5.9176,2.4808,7.5662,0min0sec
2130,-5.8907,2.4699,7.5527,0min0sec
2140,-5.8640,2.4591,7.5392,0min0sec
2150,-5.8369,2.4484,7.5260,0min0sec
2160,-5.8102,2.4378,7.5128,0min0sec
2170,-5.7841,2.4273,7.4997,0min0sec
2180,-5.7581,2.4169,7.4868,0min0sec
2190,-5.7325,2.4066,7.4741,0min0sec
2200,-5.7078,2.3964,7.4615,0min0sec
2210,-5.6801,2.3867,7.4493,0min0sec
2220,-5.6562,2.3767,7.4369,0min0sec
2230,-5.6313,2.3667,7.4246,0min0sec
2240,-5.6071,2.3568,7.4122,0min0sec
2250,-5.5828,2.3470,7.4000,0min0sec
2260,-5.5585,2.3372,7.3878,0min0sec
2270,-5.5348,2.3276,7.3759,0min0sec
2280,-5.5109,2.3181,7.3641,0min0sec
2290,-5.4874,2.3087,7.3525,0min0sec
2300,-5.4640,2.2993,7.3409,0min0sec
2310,-5.4412,2.2901,7.3295,0min0sec
2320,-5.4182,2.2809,7.3181,0min0sec
2330,-5.3955,2.2718,7.3068,0min0sec
2340,-5.3727,2.2627,7.2957,0min0sec
2350,-5.3504,2.2537,7.2845,0min0sec
2360,-5.3284,2.2448,7.2734,0min0sec
2370,-5.3065,2.2359,7.2624,0min0sec
2380,-5.2847,2.2272,7.2515,0min0sec
2390,-5.2630,2.2185,7.2407,0min0sec
2400,-5.2417,2.2099,7.2301,0min0sec
2410,-5.2201,2.2014,7.2197,0min0sec
2420,-5.1992,2.1929,7.2093,0min0sec
2430,-5.1781,2.1844,7.1988,0min0sec
2440,-5.1572,2.1761,7.1884,0min0sec
2450,-5.1366,2.1677,7.1780,0min0sec
2460,-5.1163,2.1595,7.1678,0min0sec
2470,-5.0960,2.1514,7.1577,0min0sec
2480,-5.0757,2.1434,7.1476,0min0sec
2490,-5.0557,2.1354,7.1377,0min0sec
2500,-5.0362,2.1275,7.1278,0min0sec
2510,-5.0170,2.1196,7.1180,0min0sec
2520,-4.9971,2.1118,7.1083,0min0sec
2530,-4.9778,2.1040,7.0986,0min0sec
2540,-4.9586,2.0963,7.0890,0min0sec
2550,-4.9396,2.0886,7.0794,0min0sec
