step,actic loss,critic loss,average distance,time
10,-435.2968,107.7081,10.4441,0min0sec
20,-356.6769,80.7233,10.4294,0min0sec
30,-209.3469,57.3597,10.4206,0min0sec
40,-161.8440,43.8945,10.4223,0min0sec
50,-129.4098,35.6396,10.4266,0min0sec
60,-108.6607,30.0577,10.4281,0min0sec
70,-93.4205,26.0446,10.4262,0min0sec
80,-81.2689,23.0285,10.3987,0min0sec
90,-72.0350,20.6595,10.2681,0min0sec
100,-65.0557,18.7445,10.0311,0min0sec
110,-59.2059,17.1778,9.8219,0min0sec
120,-54.2539,15.8694,9.6399,0min0sec
130,-50.1120,14.7590,9.4790,0min0sec
140,-46.5916,13.8042,9.3439,0min0sec
150,-43.5612,12.9789,9.2259,0min0sec
160,-40.7599,12.2619,9.1230,0min0sec
170,-38.3910,11.6197,9.0301,0min0sec
180,-36.2857,11.0461,8.9486,0min0sec
190,-34.3733,10.5337,8.8723,0min0sec
200,-32.6716,10.0739,8.8059,0min0sec
210,-31.1097,9.6571,8.7447,0min0sec
220,-29.7341,9.2805,8.6880,0min0sec
230,-28.4350,8.9353,8.6374,0min0sec
240,-27.2696,8.6170,8.5899,0min0sec
250,-26.1867,8.3246,8.5455,0min0sec
260,-25.1764,8.0547,8.5035,0min0sec
270,-24.2415,7.8046,8.4654,0min0sec
280,-23.3901,7.5719,8.4311,0min0sec
290,-22.5720,7.3551,8.3990,0min0sec
300,-21.8346,7.1527,8.3728,0min0sec
310,-21.1301,6.9639,8.3456,0min0sec
320,-20.4634,6.7860,8.3198,0min0sec
330,-19.8532,6.6201,8.2984,0min0sec
340,-19.2742,6.4637,8.2747,0min0sec
350,-18.7201,6.3174,8.2515,0min0sec
360,-18.2025,6.1758,8.2297,0min0sec
370,-17.7100,6.0431,8.2097,0min0sec
380,-17.2489,5.9171,8.1902,0min0sec
390,-16.8205,5.7982,8.1743,0min0sec
400,-16.4053,5.6852,8.1574,0min0sec
410,-16.0030,5.5783,8.1409,0min0sec
