step,actic loss,critic loss,average distance,time
10,-2272.6224,427.9988,20.8261,0min2sec
20,-1955.0076,334.5632,20.8407,0min1sec
30,-1220.8129,237.0301,20.8252,0min2sec
40,-839.2286,184.3364,20.7138,0min2sec
50,-672.5151,149.0678,20.2012,0min2sec
60,-560.7761,125.1834,19.3859,0min2sec
70,-480.8741,107.9217,18.7025,0min2sec
80,-421.8022,94.9101,18.1514,0min2sec
90,-375.7694,84.7625,17.6974,0min1sec
100,-338.4898,76.6311,17.3296,0min1sec
110,-308.0912,69.9581,17.0303,0min1sec
120,-283.0307,64.3826,16.7922,0min2sec
130,-261.5928,59.6712,16.5812,0min2sec
140,-242.8179,55.6238,16.4270,0min2sec
150,-227.0055,52.1212,16.2650,0min2sec
160,-212.7567,49.0464,16.1219,0min2sec
170,-200.5858,46.3383,15.9929,0min1sec
180,-189.5678,43.9309,15.8741,0min1sec
190,-179.7574,41.7685,15.7661,0min1sec
200,-170.8832,39.8290,15.6805,0min2sec
210,-162.4837,38.0843,15.6114,0min2sec
220,-155.5297,36.4994,15.5421,0min2sec
230,-148.7755,35.0422,15.4708,0min2sec
240,-142.5146,33.6980,15.4074,0min2sec
250,-136.7861,32.4621,15.3543,0min2sec
260,-131.7390,31.3294,15.2983,0min1sec
270,-126.8621,30.2702,15.2479,0min1sec
280,-122.3948,29.2835,15.2000,0min2sec
290,-118.1807,28.3672,15.1528,0min2sec
300,-114.2227,27.5089,15.1098,0min2sec
310,-110.5441,26.7077,15.0739,0min2sec
320,-107.1342,25.9576,15.0373,0min2sec
330,-103.9184,25.2547,15.0017,0min2sec
340,-100.7756,24.6000,14.9777,0min2sec
350,-97.9972,23.9804,14.9479,0min2sec
360,-95.2822,23.3921,14.9191,0min2sec
370,-92.7179,22.8318,14.8916,0min2sec
380,-90.3153,22.3045,14.8653,0min2sec
390,-88.0297,21.8020,14.8400,0min2sec
400,-85.8591,21.3247,14.8166,0min2sec
410,-83.7821,20.8707,14.7926,0min2sec
420,-81.7474,20.4437,14.7709,0min2sec
430,-79.9081,20.0334,14.7491,0min2sec
440,-78.1189,19.6411,14.7291,0min2sec
450,-76.4163,19.2709,14.7121,0min2sec
460,-74.7956,18.9171,14.6998,0min2sec
470,-73.1588,18.5795,14.6876,0min2sec
