step,actic loss,critic loss,average distance,time
10,-1151.1594,241.8587,15.6207,0min0sec
20,-1001.5699,193.2889,15.5803,0min0sec
30,-613.7562,138.4617,15.5400,0min0sec
40,-419.5834,108.1129,15.3498,0min0sec
50,-338.7057,87.3549,14.8341,0min0sec
60,-283.6902,73.3388,14.2453,0min0sec
70,-243.6822,63.2623,13.7901,0min0sec
80,-213.5001,55.6831,13.4465,0min0sec
90,-189.9654,49.7582,13.1715,0min0sec
100,-170.9940,45.0218,12.9530,0min0sec
110,-155.6281,41.1380,12.7724,0min0sec
120,-142.8108,37.8978,12.6161,0min0sec
130,-131.9511,35.1509,12.4807,0min0sec
140,-122.6456,32.7881,12.3587,0min0sec
150,-114.6119,30.7425,12.2507,0min0sec
160,-107.5075,28.9506,12.1581,0min0sec
170,-101.2479,27.3688,12.0772,0min0sec
180,-95.6989,25.9598,12.0020,0min0sec
190,-90.7434,24.7078,11.9315,0min0sec
200,-86.3234,23.5758,11.8772,0min0sec
210,-82.2286,22.5442,11.8304,0min0sec
220,-78.5454,21.6117,11.7780,0min0sec
230,-75.1137,20.7620,11.7295,0min0sec
240,-72.0776,19.9923,11.6836,0min0sec
250,-69.2188,19.2732,11.6472,0min0sec
260,-66.6374,18.6078,11.6114,0min0sec
270,-64.1723,17.9950,11.5759,0min0sec
280,-61.8749,17.4236,11.5511,0min0sec
290,-59.7423,16.8905,11.5336,0min0sec
300,-57.7474,16.3990,11.5060,0min0sec
310,-55.9060,15.9325,11.4797,0min0sec
320,-54.1828,15.4957,11.4552,0min0sec
330,-52.5554,15.0860,11.4327,0min0sec
340,-50.9653,14.7025,11.4128,0min0sec
350,-49.5426,14.3377,11.3949,0min0sec
360,-48.1673,13.9984,11.3770,0min0sec
370,-46.8608,13.6765,11.3588,0min0sec
380,-45.6261,13.3698,11.3414,0min0sec
390,-44.4859,13.0819,11.3258,0min0sec
400,-43.4130,12.8062,11.3111,0min0sec
410,-42.3684,12.5430,11.2965,0min0sec
420,-41.3397,12.2927,11.2833,0min0sec
430,-40.3438,12.0535,11.2714,0min0sec
440,-39.4591,11.8259,11.2586,0min0sec
450,-38.6112,11.6075,11.2443,0min0sec
460,-37.7748,11.3994,11.2310,0min0sec
470,-36.9586,11.1985,11.2208,0min0sec
480,-36.2187,11.0056,11.2108,0min0sec
490,-35.4791,10.8176,11.2065,0min0sec
500,-34.7636,10.6391,11.2004,0min0sec
510,-34.1000,10.4666,11.1904,0min0sec
520,-33.4579,10.3026,11.1801,0min0sec
530,-32.8198,10.1439,11.1716,0min0sec
540,-32.2227,9.9909,11.1621,0min0sec
550,-31.6287,9.8458,11.1530,0min0sec
560,-31.0771,9.7051,11.1432,0min0sec
570,-30.5252,9.5704,11.1340,0min0sec
580,-29.9987,9.4401,11.1246,0min0sec
590,-29.4938,9.3136,11.1162,0min0sec
600,-29.0040,9.1910,11.1084,0min0sec
610,-28.5283,9.0727,11.1019,0min0sec
620,-28.0790,8.9588,11.0955,0min0sec
630,-27.6389,8.8465,11.0891,0min0sec
640,-27.2027,8.7388,11.0818,0min0sec
650,-26.7830,8.6341,11.0747,0min0sec
660,-26.3733,8.5337,11.0677,0min0sec
670,-25.9866,8.4362,11.0622,0min0sec
680,-25.6076,8.3397,11.0590,0min0sec
690,-25.2482,8.2468,11.0554,0min0sec
700,-24.8887,8.1580,11.0492,0min0sec
710,-24.5380,8.0706,11.0431,0min0sec
720,-24.1987,7.9841,11.0368,0min0sec
730,-23.8669,7.9009,11.0315,0min0sec
740,-23.5447,7.8197,11.0273,0min0sec
750,-23.2361,7.7412,11.0234,0min0sec
760,-22.9309,7.6646,11.0186,0min0sec
770,-22.6349,7.5891,11.0132,0min0sec
780,-22.3453,7.5162,11.0088,0min0sec
790,-22.0715,7.4447,11.0043,0min0sec
800,-21.7961,7.3751,11.0003,0min0sec
810,-21.5256,7.3069,10.9966,0min0sec
820,-21.2683,7.2412,10.9928,0min0sec
830,-21.0059,7.1760,10.9910,0min0sec
840,-20.7589,7.1127,10.9877,0min0sec
850,-20.4956,7.0532,10.9846,0min0sec
860,-20.2845,6.9947,10.9829,0min0sec
870,-20.0636,6.9358,10.9823,0min0sec
880,-19.8305,6.8783,10.9798,0min0sec
890,-19.6021,6.8218,10.9764,0min0sec
900,-19.3788,6.7669,10.9727,0min0sec
910,-19.1543,6.7136,10.9700,0min0sec
920,-18.9728,6.6631,10.9672,0min0sec
930,-18.7802,6.6123,10.9646,0min0sec
940,-18.5651,6.5633,10.9617,0min0sec
950,-18.3568,6.5147,10.9601,0min0sec
960,-18.1777,6.4668,10.9580,0min0sec
970,-17.9923,6.4190,10.9548,0min0sec
980,-17.8142,6.3725,10.9501,0min0sec
990,-17.6329,6.3228,10.9405,0min0sec
1000,-17.4517,6.2696,10.9198,0min0sec
1010,-17.2872,6.2147,10.8897,0min0sec
1020,-17.1130,6.1612,10.8570,0min0sec
1030,-16.9397,6.1077,10.8230,0min0sec
1040,-16.7752,6.0551,10.7874,0min0sec
1050,-16.6180,6.0023,10.7504,0min0sec
1060,-16.4634,5.9498,10.7114,0min0sec
1070,-16.3101,5.8980,10.6724,0min0sec
1080,-16.1688,5.8474,10.6341,0min0sec
1090,-16.0229,5.7969,10.5946,0min0sec
1100,-15.8857,5.7474,10.5554,0min0sec
1110,-15.7205,5.7018,10.5189,0min0sec
1120,-15.5920,5.6549,10.4804,0min0sec
1130,-15.4462,5.6099,10.4434,0min0sec
1140,-15.3181,5.5639,10.4051,0min0sec
1150,-15.1825,5.5183,10.3662,0min0sec
1160,-15.0590,5.4738,10.3276,0min0sec
1170,-14.9362,5.4298,10.2885,0min0sec
1180,-14.8104,5.3864,10.2497,0min0sec
1190,-14.6902,5.3439,10.2113,0min0sec
1200,-14.5695,5.3016,10.1728,0min0sec
1210,-14.4458,5.2602,10.1344,0min0sec
1220,-14.3258,5.2201,10.0969,0min0sec
1230,-14.2104,5.1799,10.0602,0min0sec
1240,-14.1036,5.1407,10.0239,0min0sec
1250,-13.9876,5.1018,9.9878,0min0sec
1260,-13.8762,5.0631,9.9521,0min0sec
1270,-13.7693,5.0254,9.9166,0min0sec
1280,-13.6650,4.9881,9.8816,0min0sec
1290,-13.5629,4.9514,9.8475,0min0sec
1300,-13.4618,4.9153,9.8136,0min0sec
1310,-13.3590,4.8794,9.7799,0min0sec
1320,-13.2600,4.8441,9.7468,0min0sec
1330,-13.1614,4.8092,9.7139,0min0sec
1340,-13.0653,4.7751,9.6814,0min0sec
1350,-12.9711,4.7413,9.6495,0min0sec
1360,-12.8775,4.7081,9.6184,0min0sec
1370,-12.7829,4.6755,9.5879,0min0sec
1380,-12.6937,4.6436,9.5575,0min0sec
1390,-12.6023,4.6118,9.5270,0min0sec
1400,-12.5145,4.5807,9.4970,0min0sec
1410,-12.4299,4.5499,9.4673,0min0sec
1420,-12.3457,4.5193,9.4382,0min0sec
1430,-12.2610,4.4891,9.4093,0min0sec
1440,-12.1774,4.4595,9.3808,0min0sec
1450,-12.0950,4.4301,9.3526,0min0sec
1460,-12.0137,4.4014,9.3250,0min0sec
1470,-11.9316,4.3729,9.2976,0min0sec
1480,-11.8533,4.3447,9.2703,0min0sec
1490,-11.7760,4.3171,9.2436,0min0sec
