step,actic loss,critic loss,average distance,time
10,-1660.1184,328.2983,18.2464,0min1sec
20,-1426.1484,256.7902,18.2167,0min1sec
30,-892.6630,180.5352,18.1601,0min1sec
40,-644.5393,138.7053,17.8436,0min1sec
50,-515.8948,112.0401,17.1762,0min1sec
60,-432.7045,94.1069,16.4656,0min1sec
70,-372.4008,81.2209,15.9033,0min1sec
80,-326.4922,71.5186,15.4719,0min1sec
90,-290.5187,63.9334,15.1348,0min1sec
100,-261.7230,57.8500,14.8701,0min1sec
110,-238.2798,52.8479,14.6535,0min1sec
120,-218.5556,48.6694,14.4600,0min1sec
130,-201.8632,45.1296,14.2977,0min1sec
140,-187.7389,42.0944,14.1593,0min1sec
150,-175.3221,39.4557,14.0368,0min1sec
160,-164.3781,37.1418,13.9304,0min1sec
170,-154.7813,35.1125,13.8329,0min1sec
180,-146.0696,33.3079,13.7487,0min1sec
190,-138.4627,31.6829,13.6735,0min1sec
200,-131.6980,30.2223,13.6040,0min1sec
210,-125.5737,28.9052,13.5437,0min1sec
220,-119.9972,27.7038,13.4882,0min1sec
230,-114.8652,26.6091,13.4408,0min1sec
240,-110.1346,25.6049,13.3919,0min1sec
250,-105.7080,24.6797,13.3471,0min1sec
260,-101.6695,23.8222,13.3065,0min1sec
270,-97.9775,23.0263,13.2726,0min1sec
280,-94.4792,22.2893,13.2424,0min1sec
290,-91.2012,21.6031,13.2072,0min1sec
300,-88.2097,20.9674,13.1752,0min1sec
310,-85.3736,20.3689,13.1474,0min1sec
320,-82.7706,19.8048,13.1192,0min1sec
330,-80.3089,19.2773,13.0935,0min1sec
340,-77.9324,18.7803,13.0708,0min1sec
350,-75.6519,18.3120,13.0503,0min1sec
360,-73.5354,17.8657,13.0296,0min1sec
370,-71.5434,17.4445,13.0083,0min1sec
380,-69.6693,17.0475,12.9873,0min1sec
390,-67.9112,16.6707,12.9674,0min1sec
400,-66.2275,16.3130,12.9490,0min1sec
410,-64.6339,15.9737,12.9312,0min1sec
420,-63.0890,15.6494,12.9149,0min1sec
430,-61.6160,15.3429,12.9001,0min1sec
440,-60.2850,15.0526,12.8852,0min1sec
450,-58.9419,14.7682,12.8759,0min1sec
460,-57.6901,14.4957,12.8670,0min1sec
470,-56.4615,14.2363,12.8535,0min1sec
