step,actic loss,critic loss,average distance,time
10,-1154.6833,242.4239,15.6238,0min0sec
20,-1032.1500,200.0539,15.6439,0min0sec
30,-692.0197,140.7637,15.6341,0min0sec
40,-488.6732,108.8578,15.6338,0min0sec
50,-395.2674,88.0307,15.5926,0min0sec
60,-330.9579,73.9530,15.3186,0min0sec
70,-284.6868,63.8304,14.7871,0min0sec
80,-249.3882,56.2047,14.3095,0min0sec
90,-222.0082,50.2482,13.9310,0min0sec
100,-200.1370,45.4708,13.6225,0min0sec
110,-182.1518,41.5553,13.3695,0min0sec
120,-167.0963,38.2858,13.1510,0min0sec
130,-154.3743,35.5207,12.9676,0min0sec
140,-143.3899,33.1415,12.8205,0min0sec
150,-133.9708,31.0727,12.6809,0min0sec
160,-125.6961,29.2643,12.5573,0min0sec
170,-118.3262,27.6675,12.4482,0min0sec
180,-111.8403,26.2469,12.3525,0min0sec
190,-106.0298,24.9754,12.2658,0min0sec
200,-100.7574,23.8244,12.1942,0min0sec
210,-96.0258,22.7864,12.1217,0min0sec
220,-91.7188,21.8434,12.0569,0min0sec
230,-87.7725,20.9812,11.9972,0min0sec
240,-84.1637,20.1948,11.9467,0min0sec
250,-80.7709,19.4705,11.8996,0min0sec
260,-77.7135,18.8081,11.8548,0min0sec
270,-74.8745,18.1931,11.8126,0min0sec
280,-72.2112,17.6203,11.7767,0min0sec
290,-69.7487,17.0895,11.7402,0min0sec
300,-67.4307,16.5913,11.7077,0min0sec
310,-65.2363,16.1240,11.6841,0min0sec
320,-63.2357,15.6895,11.6594,0min0sec
330,-61.3243,15.2787,11.6302,0min0sec
340,-59.5649,14.8924,11.6017,0min0sec
350,-57.8714,14.5241,11.5773,0min0sec
360,-56.2679,14.1739,11.5529,0min0sec
370,-54.7634,13.8443,11.5296,0min0sec
380,-53.3332,13.5326,11.5065,0min0sec
390,-51.9773,13.2340,11.4848,0min0sec
400,-50.6722,12.9546,11.4638,0min0sec
410,-49.4544,12.6889,11.4442,0min0sec
420,-48.2701,12.4320,11.4270,0min0sec
