step,actic loss,critic loss,average distance,time
10,-2285.2912,432.7411,20.8722,0min2sec
20,-2084.6794,367.7209,20.8644,0min2sec
30,-1506.7212,260.9758,20.8244,0min2sec
40,-1013.6005,204.5493,20.5722,0min2sec
50,-814.0996,165.1034,19.9543,0min2sec
60,-679.4988,138.5921,19.1314,0min2sec
70,-584.0595,119.4904,18.4461,0min2sec
80,-511.6571,105.0937,17.9056,0min2sec
90,-455.5910,93.8502,17.4961,0min2sec
100,-410.6279,84.8213,17.1487,0min2sec
110,-373.6186,77.4251,16.8573,0min2sec
120,-342.8017,71.2537,16.6153,0min2sec
130,-316.8562,66.0200,16.4134,0min2sec
140,-294.2855,61.5300,16.2403,0min2sec
150,-275.0770,57.6408,16.0856,0min2sec
160,-257.7876,54.2275,15.9441,0min2sec
170,-242.7648,51.2070,15.8245,0min2sec
180,-229.5066,48.5267,15.7149,0min2sec
190,-217.3735,46.1276,15.6161,0min2sec
200,-206.6476,43.9698,15.5296,0min2sec
210,-196.7626,42.0243,15.4501,0min2sec
220,-187.9067,40.2418,15.3790,0min2sec
230,-179.8310,38.6195,15.3120,0min2sec
240,-172.4080,37.1351,15.2513,0min2sec
250,-165.5684,35.7690,15.1965,0min2sec
260,-159.2039,34.5047,15.1440,0min2sec
270,-153.4182,33.3318,15.0958,0min2sec
280,-147.9538,32.2423,15.0565,0min2sec
290,-142.8973,31.2238,15.0245,0min1sec
300,-138.1514,30.2707,14.9913,0min2sec
310,-133.7202,29.3816,14.9568,0min2sec
320,-129.5492,28.5465,14.9212,0min2sec
330,-125.6523,27.7670,14.8879,0min2sec
340,-121.9325,27.0339,14.8580,0min2sec
350,-118.4004,26.3393,14.8298,0min2sec
360,-115.1541,25.6820,14.8037,0min2sec
370,-112.0693,25.0613,14.7779,0min2sec
380,-109.1627,24.4749,14.7537,0min2sec
390,-106.3908,23.9177,14.7364,0min2sec
400,-103.7098,23.3883,14.7196,0min2sec
410,-101.1843,22.8858,14.6992,0min2sec
420,-98.8252,22.4051,14.6826,0min2sec
430,-96.5491,21.9442,14.6647,0min2sec
440,-94.3653,21.5094,14.6462,0min2sec
450,-92.2489,21.0908,14.6283,0min2sec
460,-90.2570,20.6901,14.6111,0min2sec
470,-88.3547,20.3063,14.5945,0min2sec
480,-86.5196,19.9386,14.5784,0min2sec
490,-84.7469,19.5839,14.5621,0min2sec
500,-83.0233,19.2485,14.5477,0min2sec
510,-81.3857,18.9265,14.5337,0min2sec
520,-79.7951,18.6181,14.5199,0min2sec
530,-78.2811,18.3184,14.5079,0min2sec
540,-76.8637,18.0309,14.5002,0min2sec
550,-75.5040,17.7539,14.4883,0min2sec
560,-74.1756,17.4855,14.4769,0min2sec
570,-72.8772,17.2273,14.4672,0min2sec
580,-71.6151,16.9756,14.4552,0min2sec
590,-70.4005,16.7313,14.4468,0min2sec
600,-69.2142,16.4954,14.4382,0min2sec
610,-68.0981,16.2670,14.4281,0min2sec
620,-67.0365,16.0492,14.4189,0min2sec
630,-65.9811,15.8384,14.4091,0min2sec
640,-64.9672,15.6339,14.4018,0min2sec
650,-63.9812,15.4351,14.3954,0min2sec
660,-63.0326,15.2454,14.3881,0min2sec
670,-62.1309,15.0605,14.3797,0min2sec
680,-61.2177,14.8795,14.3718,0min2sec
690,-60.3139,14.7039,14.3643,0min2sec
700,-59.4689,14.5330,14.3576,0min2sec
710,-58.6358,14.3676,14.3497,0min2sec
720,-57.8429,14.2057,14.3436,0min2sec
730,-57.0731,14.0486,14.3381,0min2sec
740,-56.3058,13.8942,14.3324,0min2sec
750,-55.5226,13.7471,14.3260,0min2sec
760,-54.8081,13.6046,14.3190,0min2sec
770,-54.1473,13.4652,14.3126,0min2sec
780,-53.4472,13.3276,14.3080,0min2sec
790,-52.7806,13.1933,14.3031,0min2sec
800,-52.0970,13.0637,14.2974,0min2sec
810,-51.4834,12.9376,14.2923,0min2sec
820,-50.8959,12.8140,14.2896,0min2sec
830,-50.2829,12.6917,14.2854,0min2sec
840,-49.6875,12.5737,14.2798,0min2sec
850,-49.1205,12.4585,14.2748,0min2sec
860,-48.5618,12.3469,14.2710,0min2sec
870,-48.0129,12.2369,14.2679,0min2sec
880,-47.4673,12.1299,14.2663,0min2sec
890,-46.9529,12.0263,14.2626,0min2sec
900,-46.4465,11.9245,14.2584,0min2sec
910,-45.9372,11.8252,14.2542,0min2sec
920,-45.4379,11.7274,14.2503,0min2sec
930,-44.9635,11.6327,14.2468,0min2sec
940,-44.4953,11.5396,14.2433,0min2sec
950,-44.0280,11.4474,14.2417,0min2sec
960,-43.5796,11.3593,14.2403,0min2sec
970,-43.1270,11.2724,14.2374,0min2sec
980,-42.7067,11.1872,14.2330,0min2sec
990,-42.2593,11.1036,14.2286,0min2sec
1000,-41.8331,11.0211,14.2248,0min2sec
1010,-41.4275,10.9400,14.2222,0min2sec
1020,-41.0244,10.8592,14.2204,0min1sec
1030,-40.6270,10.7811,14.2181,0min2sec
1040,-40.2449,10.7060,14.2151,0min2sec
1050,-39.8648,10.6316,14.2122,0min2sec
1060,-39.4767,10.5575,14.2105,0min2sec
1070,-39.1094,10.4852,14.2078,0min2sec
1080,-38.7736,10.4145,14.2040,0min2sec
1090,-38.4352,10.3444,14.2006,0min2sec
1100,-38.0765,10.2744,14.1966,0min2sec
1110,-37.7624,10.2049,14.1930,0min2sec
1120,-37.4062,10.1385,14.1895,0min2sec
1130,-37.0870,10.0735,14.1859,0min2sec
1140,-36.7394,10.0103,14.1829,0min2sec
1150,-36.4314,9.9461,14.1800,0min2sec
1160,-36.1045,9.8833,14.1770,0min2sec
1170,-35.7997,9.8206,14.1753,0min2sec
1180,-35.5042,9.7586,14.1740,0min2sec
1190,-35.2133,9.6980,14.1730,0min2sec
1200,-34.9167,9.6388,14.1713,0min2sec
1210,-34.6381,9.5811,14.1721,0min2sec
1220,-34.3646,9.5226,14.1728,0min2sec
1230,-34.0525,9.4685,14.1707,0min2sec
1240,-33.7768,9.4141,14.1684,0min2sec
1250,-33.5051,9.3594,14.1661,0min2sec
1260,-33.2720,9.3081,14.1648,0min2sec
1270,-33.0227,9.2535,14.1629,0min2sec
1280,-32.7707,9.2040,14.1607,0min2sec
1290,-32.5057,9.1545,14.1579,0min2sec
1300,-32.2511,9.1029,14.1555,0min2sec
1310,-32.0241,9.0515,14.1546,0min2sec
1320,-31.7776,9.0045,14.1535,0min2sec
1330,-31.5480,8.9573,14.1511,0min2sec
1340,-31.3427,8.9117,14.1487,0min2sec
1350,-31.0878,8.8646,14.1467,0min2sec
1360,-30.8693,8.8165,14.1443,0min2sec
1370,-30.6670,8.7722,14.1430,0min2sec
1380,-30.4617,8.7265,14.1411,0min2sec
1390,-30.2353,8.6833,14.1386,0min2sec
1400,-30.0214,8.6374,14.1361,0min2sec
1410,-29.7957,8.5925,14.1338,0min2sec
1420,-29.5964,8.5519,14.1322,0min2sec
1430,-29.3875,8.5104,14.1305,0min2sec
1440,-29.1980,8.4692,14.1289,0min2sec
1450,-28.9937,8.4253,14.1273,0min2sec
1460,-28.7937,8.3827,14.1254,0min2sec
1470,-28.6067,8.3404,14.1231,0min2sec
1480,-28.4079,8.2989,14.1208,0min2sec
1490,-28.2329,8.2582,14.1186,0min2sec
1500,-28.0356,8.2172,14.1165,0min2sec
1510,-27.8510,8.1781,14.1147,0min2sec
1520,-27.6612,8.1395,14.1134,0min2sec
1530,-27.5001,8.1053,14.1127,0min2sec
1540,-27.3360,8.0692,14.1112,0min2sec
1550,-27.1497,8.0313,14.1092,0min2sec
1560,-26.9758,7.9977,14.1077,0min2sec
1570,-26.8046,7.9600,14.1059,0min2sec
1580,-26.6219,7.9233,14.1038,0min2sec
1590,-26.4714,7.8885,14.1018,0min2sec
1600,-26.3267,7.8541,14.0994,0min2sec
1610,-26.1742,7.8190,14.0982,0min2sec
1620,-26.0040,7.7849,14.0966,0min2sec
1630,-25.8366,7.7507,14.0946,0min2sec
1640,-25.6738,7.7170,14.0923,0min2sec
1650,-25.5068,7.6840,14.0904,0min2sec
1660,-25.3435,7.6506,14.0883,0min2sec
1670,-25.1906,7.6174,14.0857,0min2sec
1680,-25.0466,7.5844,14.0828,0min2sec
1690,-24.8794,7.5507,14.0784,0min2sec
1700,-24.7381,7.5152,14.0684,0min2sec
1710,-24.5708,7.4793,14.0505,0min2sec
1720,-24.4182,7.4445,14.0286,0min2sec
1730,-24.2820,7.4068,14.0017,0min2sec
1740,-24.1489,7.3676,13.9708,0min1sec
1750,-24.0063,7.3296,13.9365,0min2sec
1760,-23.8961,7.2927,13.9025,0min2sec
1770,-23.7774,7.2567,13.8690,0min2sec
1780,-23.6362,7.2236,13.8356,0min2sec
1790,-23.5016,7.1867,13.8024,0min2sec
1800,-23.3771,7.1494,13.7669,0min2sec
1810,-23.2378,7.1143,13.7313,0min2sec
1820,-23.1207,7.0786,13.6949,0min2sec
1830,-22.9882,7.0421,13.6583,0min2sec
1840,-22.8701,7.0062,13.6217,0min2sec
1850,-22.7468,6.9709,13.5857,0min2sec
1860,-22.6290,6.9357,13.5492,0min2sec
1870,-22.5059,6.9010,13.5134,0min2sec
1880,-22.3899,6.8662,13.4773,0min2sec
1890,-22.2731,6.8314,13.4410,0min2sec
1900,-22.1584,6.7970,13.4051,0min2sec
1910,-22.0477,6.7633,13.3692,0min2sec
1920,-21.9337,6.7297,13.3332,0min2sec
1930,-21.8189,6.6966,13.2975,0min2sec
1940,-21.7043,6.6637,13.2621,0min2sec
1950,-21.5974,6.6311,13.2269,0min2sec
1960,-21.4916,6.5992,13.1921,0min2sec
1970,-21.3846,6.5677,13.1576,0min2sec
1980,-21.2784,6.5362,13.1235,0min2sec
1990,-21.1743,6.5048,13.0895,0min2sec
2000,-21.0749,6.4747,13.0565,0min2sec
2010,-20.9732,6.4440,13.0230,0min2sec
2020,-20.8734,6.4136,12.9899,0min2sec
2030,-20.7676,6.3841,12.9580,0min2sec
2040,-20.6674,6.3546,12.9260,0min2sec
2050,-20.5684,6.3248,12.8939,0min2sec
2060,-20.4699,6.2953,12.8621,0min2sec
2070,-20.3752,6.2670,12.8311,0min2sec
2080,-20.2805,6.2385,12.7998,0min2sec
2090,-20.1830,6.2097,12.7683,0min2sec
2100,-20.0870,6.1816,12.7374,0min2sec
2110,-19.9916,6.1537,12.7067,0min2sec
2120,-19.9004,6.1258,12.6760,0min2sec
2130,-19.8068,6.0983,12.6461,0min2sec
2140,-19.7151,6.0709,12.6161,0min2sec
2150,-19.6251,6.0438,12.5863,0min2sec
2160,-19.5359,6.0170,12.5567,0min2sec
2170,-19.4467,5.9902,12.5273,0min2sec
2180,-19.3583,5.9637,12.4980,0min2sec
2190,-19.2703,5.9375,12.4693,0min2sec
2200,-19.1849,5.9117,12.4407,0min2sec
2210,-19.0992,5.8861,12.4123,0min2sec
2220,-19.0111,5.8608,12.3846,0min2sec
2230,-18.9249,5.8357,12.3567,0min2sec
2240,-18.8402,5.8106,12.3292,0min2sec
2250,-18.7565,5.7861,12.3019,0min2sec
2260,-18.6770,5.7615,12.2748,0min2sec
2270,-18.5959,5.7371,12.2477,0min2sec
2280,-18.5150,5.7129,12.2208,0min2sec
2290,-18.4358,5.6892,12.1947,0min2sec
2300,-18.3570,5.6655,12.1682,0min2sec
2310,-18.2791,5.6418,12.1419,0min2sec
2320,-18.1998,5.6183,12.1159,0min2sec
2330,-18.1240,5.5952,12.0905,0min2sec
2340,-18.0442,5.5727,12.0653,0min2sec
2350,-17.9666,5.5500,12.0400,0min2sec
2360,-17.8914,5.5277,12.0151,0min2sec
2370,-17.8162,5.5054,11.9903,0min2sec
2380,-17.7422,5.4831,11.9653,0min2sec
2390,-17.6689,5.4610,11.9407,0min2sec
2400,-17.5959,5.4391,11.9162,0min2sec
2410,-17.5235,5.4174,11.8922,0min2sec
2420,-17.4520,5.3958,11.8684,0min2sec
2430,-17.3832,5.3745,11.8447,0min2sec
2440,-17.3089,5.3538,11.8212,0min2sec
2450,-17.2382,5.3332,11.7977,0min2sec
2460,-17.1684,5.3124,11.7745,0min2sec
2470,-17.1000,5.2918,11.7515,0min1sec
2480,-17.0324,5.2714,11.7287,0min2sec
2490,-16.9651,5.2510,11.7061,0min2sec
2500,-16.8979,5.2308,11.6836,0min2sec
2510,-16.8316,5.2107,11.6611,0min2sec
2520,-16.7650,5.1908,11.6388,0min2sec
2530,-16.7002,5.1712,11.6167,0min2sec
2540,-16.6348,5.1515,11.5951,0min2sec
2550,-16.5704,5.1322,11.5734,0min2sec
2560,-16.5062,5.1130,11.5520,0min2sec
2570,-16.4418,5.0939,11.5309,0min2sec
2580,-16.3789,5.0748,11.5098,0min2sec
2590,-16.3163,5.0560,11.4887,0min2sec
2600,-16.2540,5.0373,11.4677,0min2sec
2610,-16.1934,5.0187,11.4470,0min2sec
2620,-16.1323,5.0003,11.4263,0min2sec
2630,-16.0708,4.9821,11.4058,0min2sec
2640,-16.0099,4.9642,11.3858,0min2sec
2650,-15.9507,4.9463,11.3657,0min2sec
2660,-15.8917,4.9285,11.3459,0min2sec
2670,-15.8330,4.9109,11.3263,0min2sec
2680,-15.7742,4.8933,11.3067,0min2sec
2690,-15.7164,4.8759,11.2872,0min2sec
2700,-15.6579,4.8586,11.2681,0min2sec
2710,-15.5997,4.8416,11.2490,0min2sec
2720,-15.5455,4.8249,11.2304,0min2sec
2730,-15.4890,4.8083,11.2115,0min2sec
2740,-15.4327,4.7915,11.1925,0min2sec
2750,-15.3764,4.7748,11.1737,0min2sec
2760,-15.3214,4.7582,11.1550,0min2sec
2770,-15.2665,4.7416,11.1364,0min2sec
2780,-15.2129,4.7253,11.1180,0min2sec
2790,-15.1585,4.7090,11.0997,0min2sec
2800,-15.1055,4.6930,11.0816,0min2sec
2810,-15.0517,4.6771,11.0637,0min2sec
2820,-14.9990,4.6611,11.0459,0min2sec
2830,-14.9466,4.6454,11.0283,0min2sec
2840,-14.8948,4.6298,11.0110,0min2sec
2850,-14.8425,4.6142,10.9936,0min2sec
2860,-14.7909,4.5988,10.9762,0min2sec
2870,-14.7406,4.5834,10.9591,0min2sec
2880,-14.6899,4.5682,10.9420,0min2sec
2890,-14.6396,4.5532,10.9253,0min2sec
2900,-14.5903,4.5382,10.9085,0min2sec
2910,-14.5405,4.5236,10.8921,0min2sec
2920,-14.4913,4.5087,10.8755,0min2sec
2930,-14.4423,4.4939,10.8591,0min2sec
2940,-14.3929,4.4793,10.8426,0min2sec
2950,-14.3447,4.4649,10.8262,0min2sec
2960,-14.2972,4.4504,10.8101,0min2sec
2970,-14.2492,4.4360,10.7939,0min2sec
2980,-14.2019,4.4217,10.7777,0min2sec
2990,-14.1548,4.4075,10.7616,0min2sec
3000,-14.1082,4.3934,10.7456,0min2sec
3010,-14.0619,4.3794,10.7299,0min2sec
3020,-14.0154,4.3657,10.7145,0min2sec
3030,-13.9681,4.3522,10.6993,0min2sec
3040,-13.9242,4.3387,10.6843,0min2sec
3050,-13.8789,4.3254,10.6693,0min2sec
3060,-13.8334,4.3120,10.6540,0min2sec
3070,-13.7883,4.2986,10.6387,0min2sec
3080,-13.7450,4.2853,10.6236,0min2sec
3090,-13.7011,4.2721,10.6087,0min2sec
3100,-13.6575,4.2589,10.5938,0min2sec
3110,-13.6141,4.2458,10.5790,0min2sec
3120,-13.5709,4.2329,10.5644,0min2sec
3130,-13.5281,4.2200,10.5499,0min2sec
3140,-13.4854,4.2072,10.5355,0min2sec
