step,actic loss,critic loss,average distance,time
10,-3830.6364,674.1967,26.0352,0min2sec
20,-3545.8930,586.4647,26.0252,0min2sec
30,-2667.7330,421.4296,25.8752,0min2sec
40,-1790.3323,331.3322,25.2998,0min2sec
50,-1422.0507,267.8541,24.2749,0min2sec
60,-1186.5342,224.5292,23.2236,0min2sec
70,-1019.4731,193.3671,22.3817,0min2sec
80,-893.7346,169.9128,21.7578,0min2sec
90,-795.6547,151.6113,21.2570,0min2sec
100,-717.3899,136.9253,20.8549,0min2sec
110,-652.7441,124.8866,20.5198,0min2sec
120,-599.3378,114.8352,20.2381,0min2sec
130,-553.2901,106.3243,19.9949,0min2sec
140,-514.6453,99.0295,19.7891,0min2sec
150,-480.2592,92.7102,19.6111,0min2sec
160,-450.3415,87.1561,19.4605,0min2sec
170,-424.2287,82.2679,19.3222,0min2sec
180,-400.6128,77.8921,19.2446,0min2sec
190,-379.7993,73.9816,19.1448,0min2sec
200,-360.9161,70.4592,19.0574,0min2sec
210,-343.7188,67.2713,18.9713,0min2sec
220,-328.3807,64.3822,18.8836,0min2sec
230,-314.2141,61.7484,18.8001,0min2sec
240,-301.3296,59.3421,18.7282,0min2sec
250,-289.4884,57.1285,18.6647,0min2sec
260,-278.3754,55.0802,18.6025,0min2sec
270,-268.0232,53.1819,18.5448,0min2sec
280,-258.5756,51.4184,18.4919,0min2sec
290,-249.7308,49.7685,18.4430,0min2sec
300,-241.4339,48.2398,18.3962,0min2sec
310,-233.5768,46.8122,18.3545,0min2sec
320,-226.1837,45.4722,18.3174,0min2sec
330,-219.4408,44.2052,18.2882,0min2sec
340,-213.1200,43.0100,18.2565,0min2sec
350,-207.1883,41.8914,18.2238,0min2sec
360,-201.3574,40.8344,18.1919,0min2sec
370,-196.0255,39.8329,18.1595,0min2sec
380,-190.8996,38.8786,18.1282,0min2sec
390,-186.0069,37.9753,18.1064,0min2sec
400,-181.4307,37.1217,18.0815,0min2sec
410,-177.0717,36.3068,18.0557,0min2sec
420,-172.8555,35.5289,18.0321,0min2sec
430,-168.8168,34.7913,18.0088,0min2sec
440,-164.9561,34.0830,17.9895,0min2sec
450,-161.3224,33.4057,17.9705,0min2sec
460,-157.8161,32.7580,17.9534,0min2sec
470,-154.5081,32.1381,17.9377,0min2sec
480,-151.2825,31.5422,17.9196,0min2sec
490,-148.2138,30.9699,17.9039,0min2sec
500,-145.3054,30.4228,17.8900,0min1sec
510,-142.4193,29.8978,17.8810,0min1sec
520,-139.7227,29.3941,17.8698,0min1sec
530,-137.1554,28.9069,17.8538,0min1sec
540,-134.6832,28.4369,17.8360,0min1sec
550,-132.2508,27.9857,17.8219,0min1sec
560,-129.8454,27.5448,17.8148,0min1sec
570,-127.5611,27.1235,17.8058,0min1sec
580,-125.3599,26.7186,17.7919,0min1sec
590,-123.2557,26.3245,17.7831,0min1sec
600,-121.1777,25.9472,17.7741,0min1sec
610,-119.2996,25.5820,17.7628,0min1sec
620,-117.3661,25.2330,17.7576,0min1sec
630,-115.4994,24.8921,17.7476,0min1sec
640,-113.6845,24.5643,17.7353,0min1sec
650,-111.9363,24.2422,17.7250,0min1sec
660,-110.2602,23.9296,17.7141,0min1sec
670,-108.6763,23.6284,17.7043,0min1sec
680,-107.0872,23.3326,17.6980,0min1sec
690,-105.5309,23.0456,17.6887,0min1sec
700,-104.0468,22.7657,17.6798,0min1sec
710,-102.5824,22.4950,17.6711,0min1sec
720,-101.1821,22.2324,17.6614,0min1sec
730,-99.7751,21.9769,17.6546,0min1sec
740,-98.4183,21.7274,17.6468,0min1sec
750,-97.1229,21.4875,17.6390,0min1sec
760,-95.8709,21.2520,17.6313,0min2sec
770,-94.6787,21.0232,17.6319,0min2sec
780,-93.4789,20.7945,17.6383,0min2sec
790,-92.2903,20.5744,17.6360,0min2sec
800,-91.1593,20.3619,17.6301,0min2sec
810,-90.0437,20.1556,17.6222,0min2sec
820,-88.9707,19.9552,17.6152,0min2sec
830,-87.8302,19.7593,17.6117,0min2sec
840,-86.8027,19.5637,17.6058,0min2sec
850,-85.8174,19.3752,17.6003,0min2sec
860,-84.8348,19.1899,17.5957,0min2sec
870,-83.8654,19.0097,17.5895,0min2sec
880,-82.8649,18.8319,17.5860,0min2sec
890,-81.9327,18.6598,17.5799,0min2sec
900,-81.0723,18.4908,17.5725,0min1sec
910,-80.1498,18.3261,17.5656,0min1sec
920,-79.2712,18.1631,17.5581,0min1sec
930,-78.4508,18.0051,17.5514,0min1sec
940,-77.6226,17.8473,17.5456,0min1sec
950,-76.8386,17.6960,17.5393,0min1sec
960,-76.0593,17.5470,17.5336,0min1sec
970,-75.2457,17.4065,17.5278,0min1sec
980,-74.4696,17.2640,17.5244,0min1sec
990,-73.7121,17.1239,17.5191,0min1sec
1000,-73.0041,16.9867,17.5136,0min1sec
1010,-72.2733,16.8541,17.5088,0min1sec
1020,-71.5774,16.7207,17.5035,0min2sec
1030,-70.8860,16.5905,17.4995,0min2sec
1040,-70.2123,16.4624,17.4973,0min2sec
1050,-69.5451,16.3369,17.4934,0min2sec
1060,-68.8875,16.2128,17.4896,0min2sec
1070,-68.2515,16.0920,17.4854,0min2sec
1080,-67.6158,15.9724,17.4816,0min2sec
1090,-67.0022,15.8565,17.4786,0min2sec
1100,-66.3878,15.7429,17.4767,0min2sec
1110,-65.7636,15.6324,17.4741,0min2sec
1120,-65.1699,15.5220,17.4709,0min2sec
1130,-64.6029,15.4146,17.4669,0min2sec
1140,-64.0404,15.3072,17.4631,0min2sec
1150,-63.4716,15.2023,17.4592,0min2sec
1160,-62.9307,15.1011,17.4550,0min2sec
1170,-62.4075,14.9995,17.4504,0min2sec
1180,-61.8776,14.9016,17.4463,0min2sec
1190,-61.3657,14.8062,17.4425,0min2sec
1200,-60.8558,14.7113,17.4389,0min2sec
1210,-60.3746,14.6190,17.4356,0min2sec
1220,-59.8747,14.5273,17.4322,0min2sec
1230,-59.3923,14.4364,17.4288,0min2sec
