step,actic loss,critic loss,average distance,time
10,-11350.5968,1727.4522,41.6963,0min2sec
20,-10567.2214,1517.1666,41.5984,0min2sec
30,-8562.1235,1132.4757,41.3627,0min2sec
40,-5954.7201,879.0388,40.5830,0min2sec
50,-4521.8989,717.3365,39.1361,0min2sec
60,-3825.9485,601.2025,37.4390,0min2sec
70,-3285.6336,517.4512,36.0179,0min3sec
80,-2873.9176,454.3735,34.9270,0min3sec
90,-2558.8910,405.1466,34.0256,0min2sec
100,-2306.3329,365.6301,33.3089,0min2sec
110,-2099.4532,333.2188,32.7473,0min2sec
120,-1927.8951,306.1518,32.2651,0min2sec
130,-1781.3102,283.1983,31.8332,0min2sec
140,-1654.2419,263.4886,31.4772,0min2sec
150,-1546.2600,246.4067,31.1536,0min2sec
160,-1449.8149,231.4513,30.8876,0min2sec
170,-1364.2745,218.2608,30.6392,0min2sec
180,-1289.3479,206.5359,30.4211,0min2sec
190,-1220.8663,196.0235,30.2315,0min3sec
200,-1161.6604,186.5516,30.0504,0min2sec
210,-1107.0142,177.9734,29.8833,0min2sec
220,-1055.9246,170.1794,29.7310,0min2sec
230,-1010.5463,163.0435,29.5927,0min2sec
240,-969.5224,156.5223,29.4692,0min2sec
250,-929.5732,150.5246,29.3518,0min2sec
260,-894.0453,144.9705,29.2402,0min2sec
270,-860.6520,139.8536,29.1505,0min2sec
280,-830.5029,135.0656,29.0693,0min2sec
290,-801.8578,130.6176,28.9800,0min2sec
300,-775.9757,126.4702,28.8954,0min2sec
310,-751.6284,122.5878,28.8195,0min2sec
320,-728.2402,118.9379,28.7474,0min2sec
330,-706.3671,115.5175,28.6852,0min2sec
340,-685.2994,112.2900,28.6441,0min2sec
350,-666.1255,109.2533,28.5841,0min2sec
360,-647.7183,106.3687,28.5516,0min2sec
370,-630.1564,103.6406,28.5446,0min2sec
380,-613.1311,101.0726,28.5160,0min2sec
390,-597.3508,98.6418,28.4600,0min2sec
400,-582.5855,96.3190,28.4064,0min2sec
410,-568.3465,94.1044,28.3687,0min2sec
420,-554.9097,92.0076,28.3366,0min2sec
430,-542.1397,89.9980,28.2951,0min2sec
440,-529.8691,88.0783,28.2511,0min2sec
450,-518.0301,86.2497,28.2083,0min2sec
460,-507.0545,84.5023,28.1674,0min2sec
470,-496.3545,82.8246,28.1310,0min2sec
480,-486.0698,81.2167,28.0959,0min3sec
490,-476.4610,79.6777,28.0619,0min2sec
500,-466.9998,78.1964,28.0379,0min2sec
510,-457.8381,76.7728,28.0210,0min2sec
520,-449.1549,75.4019,27.9930,0min2sec
530,-440.6248,74.0872,27.9625,0min2sec
540,-432.3966,72.8152,27.9331,0min2sec
550,-424.4937,71.5923,27.9052,0min2sec
560,-416.8121,70.4093,27.8856,0min2sec
570,-409.1863,69.2769,27.8698,0min2sec
580,-402.4896,68.1891,27.8448,0min2sec
590,-395.8278,67.1318,27.8194,0min2sec
600,-389.3389,66.1069,27.7957,0min2sec
610,-383.1148,65.1132,27.7742,0min2sec
620,-376.8492,64.1584,27.7547,0min2sec
630,-370.8329,63.2274,27.7485,0min3sec
640,-365.0179,62.3213,27.7451,0min2sec
650,-359.3961,61.4485,27.7330,0min2sec
660,-353.9823,60.6005,27.7157,0min2sec
670,-348.6928,59.7793,27.7008,0min2sec
680,-343.5743,58.9811,27.6869,0min2sec
690,-338.5201,58.2045,27.6706,0min2sec
700,-333.7310,57.4574,27.6564,0min2sec
710,-329.0613,56.7308,27.6458,0min2sec
